recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-17	2019-05-17	HU	Hungary	740	170	7748368	3075687	14541	4498
rd2	Last 2 days	2019-05-16	2019-05-17	HU	Hungary	853	185	17563573	7004413	35219	11413
rd3	Last 3 days	2019-05-15	2019-05-17	HU	Hungary	935	197	27369600	10967065	54314	17970
rd4	Last 4 days	2019-05-14	2019-05-17	HU	Hungary	1037	203	36401567	14672062	72565	24476
rd5	Last 5 days	2019-05-13	2019-05-17	HU	Hungary	1118	215	45625807	18529940	90196	31025
rd6	Last 6 days	2019-05-12	2019-05-17	HU	Hungary	1269	224	54139096	22159426	106786	37548
rw1	Last week	2019-05-11	2019-05-17	HU	Hungary	1362	236	62152162	25527325	123382	44108
rw2	Last 2 weeks	2019-05-04	2019-05-17	HU	Hungary	2149	581	111692150	46214637	239277	91696
rw3	Last 3 weeks	2019-04-27	2019-05-17	HU	Hungary	2932	778	139838515	57702298	300546	115038
rw4	Last 4 weeks	2019-04-20	2019-05-17	HU	Hungary	3373	868	158278327	65018554	338466	127135
rm1	Last month	2019-04-18	2019-05-17	HU	Hungary	3473	899	162965472	66971570	349517	130889
rm2	Last 2 months	2019-03-19	2019-05-17	HU	Hungary	5117	1387	202392598	83311938	447008	158200
rm3	Last 3 months	2019-02-17	2019-05-17	HU	Hungary	5574	1490	211744210	86816758	471949	163309
rm6	Last 6 months	2019-01-01	2019-05-17	HU	Hungary	5779	1532	215426500	88350763	479886	165172
