advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	LU	Luxembourg	83	1	3484817	1376971	16424	2800
Greenpeace Luxembourg		67370457805	Facebook	f	Facebook	LU	Luxembourg	131	1	1867945	461429	13756	199
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	f	Facebook	LU	Luxembourg	75	1	1804720	543959	9824	599
Charles Goerens		441313569220539	Facebook	f	Facebook	LU	Luxembourg	30	1	879190	223589	3491	199
déi gréng	déi gréng	21710789873	Facebook	f	Facebook	LU	Luxembourg	14	1	729916	214986	2985	400
Piraten Lëtzebuerg		183148710560	Facebook	f	Facebook	LU	Luxembourg	40	1	579777	165921	3957	0
DP - Demokratesch Partei	DP - Demokratesch Partei	280875378609326	Facebook	f	Facebook	LU	Luxembourg	15	1	550135	178720	1479	0
déi Lénk	déi Lénk	120444648033670	Facebook	f	Facebook	LU	Luxembourg	3	1	199906	69954	696	99
Kialo		729627343834501	Facebook	f	Facebook	LU	Luxembourg	341	1	168382	70389	1034	256
Unis pour les Droits Humains		1642871805813802	Facebook	f	Facebook	LU	Luxembourg	17	1	133909	58679	130	4
Jonk Piraten		194441573983035	Facebook	f	Facebook	LU	Luxembourg	3	1	100906	19981	296	0
European Investment Bank		350888674962511	Facebook	f	Facebook	LU	Luxembourg	1	1	99999	49999	499	100
European Greens		141366725876424	Facebook	f	Facebook	LU	Luxembourg	5	1	72665	21235	611	122
déi jonk gréng	Déi jonk gréng	197451906960613	Facebook	f	Facebook	LU	Luxembourg	14	1	70985	11999	1386	0
CSV	CSV	56016549775	Facebook	f	Facebook	LU	Luxembourg	19	1	63981	14000	1881	0
Action Solidarité Tiers Monde - ASTM		161567570579610	Facebook	f	Facebook	LU	Luxembourg	2	1	57104	13553	169	0
Julia Elisabetta Pitterman		2235333396715580	Facebook	f	Facebook	LU	Luxembourg	4	1	56980	10996	395	0
ADR  - Alternativ Demokratesch Reformpartei		115916035102253	Facebook	f	Facebook	LU	Luxembourg	2	1	50998	10000	198	0
Marc ANGEL		1404458223105541	Facebook	f	Facebook	LU	Luxembourg	1	1	49999	10000	99	0
BreakingPlanet		1993767777349037	Facebook	f	Facebook	LU	Luxembourg	1	1	49999	10000	99	0
JDL Jonk Demokraten		141096935941189	Facebook	f	Facebook	LU	Luxembourg	1	1	49998	10000	99	0
Déi Konservativ		235829416883581	Facebook	f	Facebook	LU	Luxembourg	1	1	49983	9996	498	99
Fondation IDEA asbl		439909732821172	Facebook	f	Facebook	LU	Luxembourg	1	1	49929	9986	98	0
Burelbach Immobilien		243135569564978	Facebook	f	Facebook	LU	Luxembourg	1	1	49867	9973	98	0
Piraten Bezierk Osten		141480992729926	Facebook	f	Facebook	LU	Luxembourg	1	1	49107	9821	490	98
