country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DK	Denmark	m18_24	male (18-24)	7392	1259	15111074	4600792	121359	29314
DK	Denmark	f18_24	female (18-24)	7442	1293	12870390	4150687	98444	23705
DK	Denmark	m25_34	male (25-34)	8115	1366	11279219	3426205	97977	23129
DK	Denmark	f25_34	female (25-34)	8310	1412	9676444	3121507	89901	21242
DK	Denmark	f35_44	female (35-44)	8374	1394	8280593	2653564	88974	21037
DK	Denmark	m35_44	male (35-44)	8235	1352	8031195	2433806	74499	17134
DK	Denmark	f45_54	female (45-54)	8089	1358	7733103	2417186	84994	20479
DK	Denmark	m45_54	male (45-54)	7873	1313	7589883	2253274	72776	16963
DK	Denmark	f65_	female (65+)	6828	1173	6964640	2094293	73215	18661
DK	Denmark	f55_64	female (55-64)	7378	1280	6606022	2005649	70711	17524
DK	Denmark	m55_64	male (55-64)	7185	1232	5863096	1697547	57499	13619
DK	Denmark	m65_	male (65+)	6586	1140	5035462	1456303	50673	12297
DK	Denmark	f13_17	female (13-17)	756	263	1045179	310955	6399	1392
DK	Denmark	m13_17	male (13-17)	730	252	997153	288630	6314	1419
DK	Denmark	u35_44	unknown (35-44)	6250	1202	239303	74205	2326	526
DK	Denmark	u25_34	unknown (25-34)	5726	1160	171558	52667	1539	350
DK	Denmark	u45_54	unknown (45-54)	5801	1153	146648	44338	1489	341
DK	Denmark	u55_64	unknown (55-64)	4926	1037	114809	33573	1146	273
DK	Denmark	u65_	unknown (65+)	4598	950	99271	28786	1015	246
DK	Denmark	u18_24	unknown (18-24)	4646	989	75853	22868	680	152
DK	Denmark	u13_17	unknown (13-17)	433	194	6028	1762	39	8
