gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	SI	Slovenia	2142	545	6944168	2632375	33037	4239
m	male	SI	Slovenia	2006	533	8453616	2972198	41331	4543
u	unknown	SI	Slovenia	1900	499	123839	45534	599	78
