spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	189098	23503	1920690818	452959062	15392297	121295
50_100	50 - 100	173763	20786	302267084	80982962	1630650	152779
100_1k	100 - 1k	69130	7339	2647799553	941315645	12371222	2930602
1k_5k	1k - 5k	2928	575	1225321011	442982329	11131971	1831094
5k_10k	5k - 10k	695	138	229343564	55548070	2688126	379497
10k_50k	10k - 50k	290	49	312201151	38976770	3161560	227586
50k_100k	50k - 100k	4	4	62221690	6358158	120019	54108
