day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d132	2019-05-12	NL	Netherlands	783	152	2326983	1002784	17400	3296
d131	2019-05-11	NL	Netherlands	861	167	2578407	1090645	19634	3869
d130	2019-05-10	NL	Netherlands	903	178	2789284	1161166	21221	4036
d129	2019-05-09	NL	Netherlands	899	173	3876227	1672145	31182	6344
d128	2019-05-08	NL	Netherlands	828	169	2633980	1130281	20385	4636
d127	2019-05-07	NL	Netherlands	796	163	2752017	1176257	22775	4614
d126	2019-05-06	NL	Netherlands	739	166	2664922	1167784	19140	4552
d125	2019-05-05	NL	Netherlands	720	174	1393966	589178	9622	1914
d124	2019-05-04	NL	Netherlands	719	183	1280192	534353	8680	1759
d123	2019-05-03	NL	Netherlands	761	189	4353999	1821657	40403	9116
d122	2019-05-02	NL	Netherlands	746	188	1167874	436334	8719	2005
d121	2019-05-01	NL	Netherlands	733	180	1105872	435728	9456	2060
d120	2019-04-30	NL	Netherlands	916	202	1166683	467354	11034	2087
d119	2019-04-29	NL	Netherlands	890	187	1064821	417900	7781	1853
d118	2019-04-28	NL	Netherlands	854	181	804405	321140	6536	1610
d117	2019-04-27	NL	Netherlands	852	187	675106	262593	5751	1423
d116	2019-04-26	NL	Netherlands	903	197	888716	340635	7209	1511
d115	2019-04-25	NL	Netherlands	848	193	535764	207859	4873	1052
d114	2019-04-24	NL	Netherlands	850	202	1055264	437146	5811	1065
d113	2019-04-23	NL	Netherlands	855	199	643863	260087	4366	797
d112	2019-04-22	NL	Netherlands	838	199	531248	211642	3755	683
d111	2019-04-21	NL	Netherlands	856	202	812148	311130	5423	958
d110	2019-04-20	NL	Netherlands	855	214	856136	329072	5656	1017
d109	2019-04-19	NL	Netherlands	886	225	761288	311461	4821	1044
d108	2019-04-18	NL	Netherlands	911	229	1095844	432942	6005	1327
d107	2019-04-17	NL	Netherlands	1014	232	6162062	2433567	59945	11354
d106	2019-04-16	NL	Netherlands	966	240	2205777	794108	12198	2126
d105	2019-04-15	NL	Netherlands	990	262	972102	376190	8916	1523
d104	2019-04-14	NL	Netherlands	1004	282	1443335	598126	10730	1979
d103	2019-04-13	NL	Netherlands	1014	298	1404078	589604	10757	1979
d102	2019-04-12	NL	Netherlands	1147	324	1541640	639528	12546	2163
d101	2019-04-11	NL	Netherlands	1052	319	1544705	620190	12443	2015
d100	2019-04-10	NL	Netherlands	987	319	1981660	836594	14694	2743
d099	2019-04-09	NL	Netherlands	967	315	1431580	549244	11259	1945
d098	2019-04-08	NL	Netherlands	984	316	1576447	641068	14153	2662
d097	2019-04-07	NL	Netherlands	916	295	1467535	574462	12154	2466
d096	2019-04-06	NL	Netherlands	915	301	1439392	568559	12151	2469
d095	2019-04-05	NL	Netherlands	955	306	1650233	611851	14213	2558
d094	2019-04-04	NL	Netherlands	889	285	1226807	425755	11190	1831
