region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
blagoevgrad_province	Blagoevgrad Province	BG	Bulgaria	1788	520	136670	41180	1020	17
burgas_province	Burgas Province	BG	Bulgaria	1902	539	310545	81130	850	25
haskovo_province	Haskovo Province	BG	Bulgaria	1632	466	54880	16453	241	7
kyustendil_province	Kyustendil Province	BG	Bulgaria	1458	403	8918	3203	50	1
lovech_province	Lovech Province	BG	Bulgaria	1417	399	13399	4201	121	1
montana_province	Montana Province	BG	Bulgaria	1433	390	13095	4027	146	2
pazardzhik_province	Pazardzhik Province	BG	Bulgaria	1615	453	78436	22131	265	9
pernik_province	Pernik Province	BG	Bulgaria	1513	421	15341	5350	50	5
pleven_province	Pleven Province	BG	Bulgaria	1667	487	48832	17594	239	11
plovdiv_province	Plovdiv Province	BG	Bulgaria	2067	569	471090	163195	1281	124
ruse_province	Ruse Province	BG	Bulgaria	1717	486	104323	33434	1117	15
sliven_province	Sliven Province	BG	Bulgaria	1514	437	24815	9764	175	5
smolyan_province	Smolyan Province	BG	Bulgaria	1449	406	5849	2235	14	1
sofia_city_province	Sofia City Province	BG	Bulgaria	2662	695	6195009	2082066	26834	2566
sofia_province	Sofia Province	BG	Bulgaria	1551	430	21991	8352	63	7
stara_zagora_province	Stara Zagora Province	BG	Bulgaria	1763	490	74582	28526	307	20
varna_province	Varna Province	BG	Bulgaria	2020	561	354320	107438	1422	50
veliko_tarnovo_province	Veliko Tarnovo Province	BG	Bulgaria	1712	482	56488	23887	274	9
vidin_province	Vidin Province	BG	Bulgaria	1367	380	4512	1674	15	1
vratsa_province	Vratsa Province	BG	Bulgaria	1466	419	41410	17098	391	3
yambol_province	Yambol Province	BG	Bulgaria	1427	397	77345	17745	453	2
