gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	PL	Poland	8764	1795	94795429	34483873	280621	53965
m	male	PL	Poland	8388	1745	95487953	35049624	296644	56513
u	unknown	PL	Poland	7204	1608	567302	202925	2082	395
