advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rd6	Last 6 days	264	1	40067658	17328000	183491	45525
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd6	Last 6 days	138	1	21981136	9612048	33780	7863
European Greens		141366725876424	Facebook	rd6	Last 6 days	123	1	21969128	9740613	129985	30988
FDP	FDP	21289227249	Facebook	rd6	Last 6 days	1991	1	17110926	5104165	189843	8255
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd6	Last 6 days	1459	1	14311170	4152073	181144	12579
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd6	Last 6 days	391	1	13101975	5383168	62378	11229
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd6	Last 6 days	117	1	11060459	4591052	47049	16018
Partito Democratico	Partito Democratico	77034286895	Facebook	rd6	Last 6 days	169	1	10498333	4229505	31122	5358
sp.a	sp.a	57253967150	Facebook	rd6	Last 6 days	221	1	10011269	3829157	44491	8751
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rd6	Last 6 days	72	1	9706618	4229999	54285	13266
SPÖ	SPÖ	77393060080	Facebook	rd6	Last 6 days	633	1	8767984	2952653	76858	12188
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rd6	Last 6 days	67	1	8703285	3699333	14685	3046
România în primul rând	Future Innovation	770704223323599	Facebook	rd6	Last 6 days	38	1	8376537	3635784	9698	2229
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rd6	Last 6 days	31	1	8307646	3781074	13308	3135
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd6	Last 6 days	34	1	8104334	3537375	14945	6452
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	rd6	Last 6 days	38	1	8064817	3366094	6227	1893
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd6	Last 6 days	235	1	7916384	2654750	24934	1561
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd6	Last 6 days	934	1	6822846	2059971	112642	13406
Open Vld	Open Vld	53668151866	Facebook	rd6	Last 6 days	211	1	6588484	2501108	40080	9282
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rd6	Last 6 days	174	1	6222507	2619857	54194	10544
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rd6	Last 6 days	38	1	6010480	2710088	56106	12888
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	rd6	Last 6 days	31	1	5981686	2637999	10636	3478
Make.org	Make.org	122037308191612	Facebook	rd6	Last 6 days	20	1	5716217	2567823	26972	6014
