gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	AT	Austria	183	68	2081767	767685	16685	2409
m	male	AT	Austria	183	68	2775107	995544	23466	3561
u	unknown	AT	Austria	159	65	22995	8508	204	30
