advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	NL	Netherlands	86	1	8412106	3722113	61304	16018
SP	SP	128393027527	Facebook	f	Facebook	NL	Netherlands	161	1	7212837	2823000	82039	16200
Europees Parlement Nederland		270788920480	Facebook	f	Facebook	NL	Netherlands	53	1	6967922	2967989	62446	15799
D66	D66	52985377549	Facebook	f	Facebook	NL	Netherlands	45	1	5099923	2052987	32854	7299
Lilian Marijnissen	SP	844559615710915	Facebook	f	Facebook	NL	Netherlands	59	1	5092917	2124989	26040	6199
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	f	Facebook	NL	Netherlands	12	1	4749955	2159985	24087	5099
Oxfam Novib		115289021825188	Facebook	f	Facebook	NL	Netherlands	40	1	4267919	1747982	61759	18699
Facebook	Facebook	726281677519881	Facebook	f	Facebook	NL	Netherlands	5	1	4009998	2005001	20095	4000
Stichting Vluchteling		120034538112114	Facebook	f	Facebook	NL	Netherlands	83	1	3873915	1523999	59116	13900
Vereniging Eigen Huis		371735371563	Facebook	f	Facebook	NL	Netherlands	15	1	3169963	1283991	24484	5399
Stichting De Noordzee		128160633899802	Facebook	f	Facebook	NL	Netherlands	42	1	3147894	1333975	19357	3899
Blendle		181375052003138	Facebook	f	Facebook	NL	Netherlands	81	1	2824911	967996	30918	5599
European Greens		141366725876424	Facebook	f	Facebook	NL	Netherlands	57	1	2820400	1197530	28289	6189
European Commission		107898832590939	Facebook	f	Facebook	NL	Netherlands	9	1	2661375	1264192	15721	3105
GroenLinks	GroenLinks	175740570505	Facebook	f	Facebook	NL	Netherlands	65	1	2555622	958215	16625	4199
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	f	Facebook	NL	Netherlands	47	1	2527747	918958	17101	2889
NPO Zapp		205247699486388	Facebook	f	Facebook	NL	Netherlands	6	1	2354884	1160945	2693	799
CDA	CDA	320374518118	Facebook	f	Facebook	NL	Netherlands	12	1	2074986	916999	11887	2499
Kialo		729627343834501	Facebook	f	Facebook	NL	Netherlands	361	1	2065242	843228	15521	3550
Bespaarkiosk.nl		1659811130952704	Facebook	f	Facebook	NL	Netherlands	3	1	1999984	899994	14996	2999
Vandebron		263935850440177	Facebook	f	Facebook	NL	Netherlands	13	1	1907957	810985	13586	2899
Ben & Jerry's		147006749798	Facebook	f	Facebook	NL	Netherlands	4	1	1799997	850000	11496	2600
VVD		121264564551002	Facebook	f	Facebook	NL	Netherlands	34	1	1746966	700000	6565	799
Henk Jan Ormel	CDA	823537391322678	Facebook	f	Facebook	NL	Netherlands	26	1	1627022	570901	9352	1695
Wilde Ganzen		105516159523693	Facebook	f	Facebook	NL	Netherlands	12	1	1417967	545991	4187	1299
