country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LV	Latvia	m25_34	male (25-34)	1987	554	2508046	905831	11779	1513
LV	Latvia	f25_34	female (25-34)	2139	567	2257060	828848	11353	1383
LV	Latvia	f35_44	female (35-44)	2153	552	1906059	644895	10620	1049
LV	Latvia	m35_44	male (35-44)	2002	540	1820769	616663	9159	1001
LV	Latvia	f18_24	female (18-24)	1872	510	1796660	680149	7130	982
LV	Latvia	m18_24	male (18-24)	1764	504	1609722	605010	6671	984
LV	Latvia	f45_54	female (45-54)	2024	527	1590614	516098	8678	774
LV	Latvia	f55_64	female (55-64)	1534	485	1344046	415854	6819	548
LV	Latvia	m45_54	male (45-54)	1883	513	1078795	350689	5131	528
LV	Latvia	f65_	female (65+)	1343	434	669067	201345	3328	289
LV	Latvia	m55_64	male (55-64)	1436	474	606808	185434	2750	236
LV	Latvia	m65_	male (65+)	1284	424	260989	78626	1214	105
LV	Latvia	f13_17	female (13-17)	235	92	99886	33438	252	8
LV	Latvia	m13_17	male (13-17)	218	89	64261	20903	226	5
LV	Latvia	u35_44	unknown (35-44)	1791	477	17467	6091	92	11
LV	Latvia	u25_34	unknown (25-34)	1714	470	14144	5110	68	9
LV	Latvia	u45_54	unknown (45-54)	1548	427	5483	1839	29	3
LV	Latvia	u18_24	unknown (18-24)	1323	378	3577	1332	17	2
LV	Latvia	u55_64	unknown (55-64)	1032	380	2599	825	11	1
LV	Latvia	u65_	unknown (65+)	942	354	1544	460	8	0
LV	Latvia	u13_17	unknown (13-17)	154	65	203	65	0	0
