gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	UK	United Kingdom	52580	5229	449957093	154535102	5661499	781189
m	male	UK	United Kingdom	51746	5134	457326628	155868484	5562500	748195
u	unknown	UK	United Kingdom	43248	4831	12199192	4116061	160939	22470
