advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	w017	Week 17	42	1	130709999	13070000	637161	40349
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	w017	Week 17	231	1	117452138	11682791	789597	15339
Future Innovation SRL		AR474748779908562944	Google	w017	Week 17	28	1	72393551	7237599	101923	1850
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	w017	Week 17	51	1	44550000	4440000	82050	2050
COALICION CANARIA		AR489541609348661248	Google	w017	Week 17	3502	1	34019120	966731	139496	601
AMERISOFT SRL		AR573801583431647232	Google	w017	Week 17	85	1	31655772	3155019	3017	158
Freiheitliche Partei Österreich		AR333020356698701824	Google	w017	Week 17	43	1	21683812	2161671	158047	19350
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	w017	Week 17	64	1	16999155	1681909	68271	1278
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	w017	Week 17	519	1	13961960	1166506	17169	362
Partido Animalista PACMA		AR145115193901318144	Google	w017	Week 17	4	1	12666666	1266666	63611	1083
HEADS, s.r.o.		AR356967719951663104	Google	w017	Week 17	16	1	11241415	1123825	26169	513
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	w017	Week 17	110	1	7850000	779999	99549	2366
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	w017	Week 17	75	1	7601613	752248	87864	5201
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	w017	Week 17	28	1	5805263	578947	723	39
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w017	Week 17	51	1	5726023	551000	1945	70
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	w017	Week 17	46	1	5437717	534855	1333	65
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	w017	Week 17	7	1	4480000	448000	17500	350
CDA Doetinchem		AR453512812329697280	Google	w017	Week 17	35	1	3542382	349391	1028	43
Liberal Alliance		AR183859784640888832	Google	w017	Week 17	91	1	3425892	319375	78260	1943
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	w017	Week 17	101	1	3061605	298235	1887	114
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	w017	Week 17	20	1	2698230	269198	1456	127
Cink, s.r.o.		AR361287976015101952	Google	w017	Week 17	26	1	2545254	251647	1088	75
HLAS		AR312619193323225088	Google	w017	Week 17	420	1	2523193	108223	9189	173
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	w017	Week 17	28	1	2178666	215333	753	26
UAB "BPN LT"		AR135010682042056704	Google	w017	Week 17	32	1	1852673	185267	926	50
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	w017	Week 17	24	1	1703714	167857	1077	87
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	w017	Week 17	74	1	1433130	133170	1633	102
Alternativet		AR198061076825243648	Google	w017	Week 17	2	1	975000	97500	487	48
Venstres Landsorganisation		AR283015942256984064	Google	w017	Week 17	28	1	827063	70444	53539	933
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	w017	Week 17	3	1	760991	76099	6274	115
Párbeszéd Magyarországért		AR567356246269624320	Google	w017	Week 17	6	1	660614	65631	349	30
Gestion et Action Libérale		AR201311233196949504	Google	w017	Week 17	185	1	646701	6920	24839	478
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	w017	Week 17	33	1	643635	57382	29320	632
Fondation Populaire		AR320938922932699136	Google	w017	Week 17	7	1	625935	62334	660	63
Fianna Fáil		AR101183107301900288	Google	w017	Week 17	18	1	601266	59430	672	58
Flamesite s.r.o.		AR522320249995919360	Google	w017	Week 17	108	1	548771	35725	1553	46
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	w017	Week 17	6	1	509999	49999	1650	150
GREEN DAY, s.r.o		AR423241058193768448	Google	w017	Week 17	40	1	490228	42126	1041	64
SPD Berlin		AR257142234632159232	Google	w017	Week 17	7	1	442189	43767	5226	141
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	w017	Week 17	3	1	420191	41800	12649	219
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	w017	Week 17	165	1	419845	4000	21308	488
Partito Democratico		AR254356072167374848	Google	w017	Week 17	26	1	284853	24052	73308	1305
Open Vld		AR369049153717665792	Google	w017	Week 17	1	1	187500	18750	93	9
Bündnis90/ Die Grünen		AR207068276079984640	Google	w017	Week 17	24	1	178682	12799	17005	355
Socialdemokratiet		AR237678679797268480	Google	w017	Week 17	12	1	159957	15252	879	85
Kankaanpään Työväenyhdistys ry		AR217573010171756544	Google	w017	Week 17	16	1	136509	11694	347	21
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	w017	Week 17	151	1	127333	2000	546	0
Slovenska demokratska stranka		AR170068335415787520	Google	w017	Week 17	1	1	125000	12500	62	6
AfD-Kreisverband Braunschweig		AR201649882778304512	Google	w017	Week 17	8	1	80000	0	400	0
Barcelona en Comú		AR342176264901099520	Google	w017	Week 17	8	1	58500	0	292	0
Alternative für Deutschland		AR380456861733748736	Google	w017	Week 17	1	1	53846	5384	269	26
Maria Spyraki		AR80818777565954048	Google	w017	Week 17	4	1	41652	3786	37	0
Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"		AR420861715031261184	Google	w017	Week 17	6	1	40941	2692	204	13
Österreichischer Wirtschaftsbund (ÖWB)		AR248881328894771200	Google	w017	Week 17	4	1	33518	2592	7815	129
Unitas		AR53945888749387776	Google	w017	Week 17	12	1	30222	0	151	0
W.R.P.R., s.r.o.		AR111802190602960896	Google	w017	Week 17	1	1	28000	2800	140	14
DOPRAVA		AR56197688563073024	Google	w017	Week 17	3	1	19500	0	705	67
Michael Aastrup Jensen		AR92226485582036992	Google	w017	Week 17	2	1	15882	588	79	2
Studio Montrucchio Capello snc		AR159631771044937728	Google	w017	Week 17	6	1	15178	0	75	0
SPÖ-Landesorganisation Burgenland		AR345765070854160384	Google	w017	Week 17	7	1	10060	0	245	21
European People’s Party		AR308399267695820800	Google	w017	Week 17	1	1	10000	0	50	0
Dansk Folkeparti - Århus Lokalforening		AR167070242084749312	Google	w017	Week 17	6	1	8157	0	97	6
SPD		AR456734381399080960	Google	w017	Week 17	2	1	4041	0	20	0
GroenLinks		AR148211418645135360	Google	w017	Week 17	1	1	1320	0	6	0
Nomada Stowarzyszenie		114318528622863	Facebook	w017	Week 17	1	1	833	166	3	0
