region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
andalusia	Andalusia	ES	Spain	10284	1412	57056407	19943863	399960	45277
aragon	Aragón	ES	Spain	12756	1040	18852660	4065281	613122	4633
balearic_islands	Balearic Islands	ES	Spain	7141	1081	9962076	2991696	66141	5477
cantabria	Cantabria	ES	Spain	6216	893	1747697	423989	21931	1564
castilla_y_leon	Castilla y Leon	ES	Spain	9684	1086	15290420	4732806	190879	10713
castilla_la_mancha	Castilla-La Mancha	ES	Spain	8297	1061	7351002	2387156	72033	4429
cataluna	Cataluña	ES	Spain	10184	1514	67748610	25604869	434524	64251
comunidad_valenciana	Comunidad Valenciana	ES	Spain	9821	1329	43638250	16197743	254063	38323
comunidad_de_madrid	Comunidad de Madrid	ES	Spain	9205	1377	30366435	11439705	196342	28166
extremadura	Extremadura	ES	Spain	6465	945	6689954	2078184	58640	2571
galicia	Galicia	ES	Spain	7953	1088	14567535	4613729	136229	9285
islas_canarias	Islas Canarias	ES	Spain	7888	1203	19058959	6164786	108851	9161
la_rioja	La Rioja	ES	Spain	6027	940	2472171	653127	24675	843
navarra	Navarra	ES	Spain	6584	888	2587313	821655	25867	2602
pais_vasco	País Vasco	ES	Spain	6295	1072	8034164	2580077	68525	6879
principality_of_asturias	Principality of Asturias	ES	Spain	6862	971	6224228	2291331	38953	4732
region_of_murcia	Region of Murcia	ES	Spain	7138	1077	4948000	1389971	39452	1971
