region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
baden_wurttemberg	Baden-Württemberg	DE	Germany	23835	2191	24092027	6739086	303703	14675
bayern	Bayern	DE	Germany	22732	2167	13218567	4266036	162186	12079
berlin	Berlin	DE	Germany	21147	2010	10486146	3104751	135078	12838
brandenburg	Brandenburg	DE	Germany	16692	1538	896785	217974	18766	360
bremen	Bremen	DE	Germany	17727	1490	3562065	876905	54961	1487
hamburg	Hamburg	DE	Germany	20120	1780	4988004	1369449	73837	5224
hessen	Hessen	DE	Germany	22050	1982	10308457	2790056	120330	6652
mecklenburg_vorpommern	Mecklenburg-Vorpommern	DE	Germany	16506	1462	1613854	380775	26735	554
niedersachsen	Niedersachsen	DE	Germany	21916	1930	12484626	3219281	132304	5426
nordrhein_westfalen	Nordrhein-Westfalen	DE	Germany	23717	2254	40958497	11784261	378064	30179
rheinland_pfalz	Rheinland-Pfalz	DE	Germany	21793	1971	9933680	2386953	156188	4475
saarland	Saarland	DE	Germany	17583	1501	3853696	1023180	41807	3463
sachsen	Sachsen	DE	Germany	19682	1721	4468008	1145377	78903	3554
saxony_anhalt	Saxony-Anhalt	DE	Germany	17776	1552	3082796	724422	39750	2250
schleswig_holstein	Schleswig-Holstein	DE	Germany	19077	1624	4665848	1130755	57975	2145
thuringen	Thüringen	DE	Germany	18107	1583	3397959	848280	48465	1558
