recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	IE	Ireland	151	41	527040	181646	6015	272
rd2	Last 2 days	2019-05-25	2019-05-26	IE	Ireland	267	80	1565631	538642	17079	1112
rd3	Last 3 days	2019-05-24	2019-05-26	IE	Ireland	765	179	8715588	3258567	69846	11637
rd4	Last 4 days	2019-05-23	2019-05-26	IE	Ireland	884	204	16268912	6037585	129190	22656
rd5	Last 5 days	2019-05-22	2019-05-26	IE	Ireland	945	208	23306129	8697648	182342	32576
rd6	Last 6 days	2019-05-21	2019-05-26	IE	Ireland	969	210	28379021	10617577	218281	38791
rw1	Last week	2019-05-20	2019-05-26	IE	Ireland	1010	214	31416537	11749268	242256	42902
rw2	Last 2 weeks	2019-05-13	2019-05-26	IE	Ireland	1026	217	34875652	12995787	258844	45761
rw3	Last 3 weeks	2019-05-06	2019-05-26	IE	Ireland	1026	217	34875652	12995787	258844	45761
rw4	Last 4 weeks	2019-04-29	2019-05-26	IE	Ireland	1026	217	34875652	12995787	258844	45761
rm1	Last month	2019-04-27	2019-05-26	IE	Ireland	1026	217	34875652	12995787	258844	45761
rm2	Last 2 months	2019-03-28	2019-05-26	IE	Ireland	1026	217	34875652	12995787	258844	45761
rm3	Last 3 months	2019-02-26	2019-05-26	IE	Ireland	1026	217	34875652	12995787	258844	45761
rm6	Last 6 months	2019-01-01	2019-05-26	IE	Ireland	1026	217	34875652	12995787	258844	45761
