country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	12738	1520	190103553	65218308	1807583	254411
BE	Belgium	13504	2317	389866259	148828086	2725201	487687
BG	Bulgaria	3051	818	39238919	15011968	125271	15752
HR	Croatia	3254	805	50759847	18671246	165436	17628
CY	Cyprus	2070	496	27191193	8883809	116755	10146
CZ	Czechia	7670	1048	96496998	33362962	380913	93108
DK	Denmark	11473	1570	134240827	41712919	1280740	298667
EE	Estonia	2463	574	23101736	8358172	129222	17613
FI	Finland	7135	1294	91812717	31763073	910897	133110
FR	France	14289	3376	275950482	107708410	2289516	384057
DE	Germany	41016	4512	461723111	145839256	5178066	461868
EL	Greece	8896	1501	254111705	93383730	963651	93924
HU	Hungary	6182	1652	209136789	85844011	484524	163470
IE	Ireland	5265	1259	65188754	24202590	432291	64415
IT	Italy	20076	5238	508662402	185483475	2653883	289732
LV	Latvia	2548	638	21720500	7633592	97724	10588
LT	Lithuania	3077	701	45759694	17247132	170233	20933
LU	Luxembourg	3513	780	20740792	6907151	119607	11619
MT	Malta	4769	836	53828609	18152247	294140	23619
NL	Netherlands	7678	1695	135627433	53417108	1109077	214502
PL	Poland	9026	1847	190850693	69736427	579348	110874
PT	Portugal	4743	1260	54012952	21536466	185610	27886
RO	Romania	6776	1374	358589899	148692021	753488	165668
SK	Slovakia	7360	885	124409285	42930076	799244	82445
SI	Slovenia	2915	693	22534927	8016947	119722	13382
ES	Spain	26982	2296	594990318	226057020	4293390	545207
SE	Sweden	11763	2017	201096114	68474164	1731384	427054
UK	United Kingdom	55952	5340	919490907	314519649	11385855	1551855
