spend_code_filter	spend_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	Ciudadanos	Ciudadanos	74078667754	Facebook	5800	1	48130920	11178098	572412	0
0_50	0 - 50	AMERISOFT SRL		AR573801583431647232	Google	201	1	39273016	3859007	8269	0
0_50	0 - 50	Partido Popular	Partido Popular	72249031214	Facebook	3432	1	38525280	8949058	338710	0
0_50	0 - 50	COALICION CANARIA		AR489541609348661248	Google	3702	1	38310321	855728	152303	0
0_50	0 - 50	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	176	1	35068425	3480512	7240	0
0_50	0 - 50	CDU	CDU	78502295414	Facebook	3087	1	34560005	8446626	304661	0
0_50	0 - 50	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	798	1	31003713	2583642	32830	0
0_50	0 - 50	SPD	SPD	47930567748	Facebook	8532	1	22752427	4046365	842038	0
0_50	0 - 50	European Parliament		178362315106	Facebook	1130	1	21593585	6571621	110981	22
0_50	0 - 50	FDP	FDP	21289227249	Facebook	2029	1	19363512	4595650	200245	0
0_50	0 - 50	Britain's Future	Britain's Future	1625300137516491	Facebook	3488	1	18285597	4847876	287798	0
0_50	0 - 50	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	137	1	17937392	1736142	5636	0
0_50	0 - 50	KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1476	1	16291760	460777	60723	0
0_50	0 - 50	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3579	1	14446700	3477996	295306	0
0_50	0 - 50	People's Vote UK	People's Vote	748608695327755	Facebook	2643	1	13840939	3281373	218076	0
0_50	0 - 50	Partido Popular Regional De Canarias		AR288284801977286656	Google	126	1	9923163	938010	5183	0
0_50	0 - 50	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2087	1	9532917	2129003	172200	0
0_50	0 - 50	PSOE	PSOE	189318235003	Facebook	249	1	8733482	2699571	24574	0
0_50	0 - 50	HLAS		AR312619193323225088	Google	596	1	8680710	419636	24519	0
0_50	0 - 50	We are the 52%	We are the 52%	466744973727718	Facebook	204	1	7389424	1881243	16832	0
0_50	0 - 50	mmb media agentur d.o.o.		AR524572049809604608	Google	746	1	7323064	131650	30691	0
0_50	0 - 50	SPÖ	SPÖ	77393060080	Facebook	620	1	7119151	1744552	61188	0
0_50	0 - 50	Conservatives	The Conservative Party	8807334278	Facebook	2010	1	7042413	1708388	165847	0
0_50	0 - 50	Kialo		729627343834501	Facebook	229	1	6988378	1515481	19834	0
0_50	0 - 50	GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	27	1	6886971	682937	1110	0
0_50	0 - 50	ČSSD	ČSSD	111041662264882	Facebook	1712	1	6448847	1343538	29239	6530
0_50	0 - 50	38 Degrees	38 Degrees	200006375787	Facebook	500	1	6209473	1781851	41255	0
0_50	0 - 50	sp.a	sp.a	57253967150	Facebook	223	1	6164529	1470408	22008	0
0_50	0 - 50	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	114	1	6121752	543058	4690	0
0_50	0 - 50	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	111	1	5800854	518374	4566	0
0_50	0 - 50	Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	182	1	5719958	1674770	17961	0
0_50	0 - 50	EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	122	1	5595150	493689	5019	0
0_50	0 - 50	Greenpeace Deutschland		22541752487	Facebook	379	1	5486490	1376701	37404	0
0_50	0 - 50	Banque mondiale		155174084508744	Facebook	105	1	5078409	1888805	8903	0
0_50	0 - 50	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1274	1	4927341	1044738	125733	0
0_50	0 - 50	PSOE Aragón	PSOE Aragón	170970449608409	Facebook	3585	1	4853261	392773	353810	0
0_50	0 - 50	CDA Doetinchem		AR453512812329697280	Google	33	1	4788790	469005	1357	0
0_50	0 - 50	Greenpeace España	Greenpeace España	133044800622	Facebook	135	1	4687230	1197261	13323	0
0_50	0 - 50	Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	332	1	4543481	1109535	32765	0
0_50	0 - 50	Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	693	1	4532156	1019815	68393	0
0_50	0 - 50	Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	183	1	4433972	1150408	18060	0
0_50	0 - 50	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	306	1	4283320	1028787	30199	0
0_50	0 - 50	Roberta Metsola		406824526101449	Facebook	470	1	4242284	1195267	46385	0
0_50	0 - 50	Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	312	1	4137768	1199255	30791	0
0_50	0 - 50	Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	59	1	4125061	1706671	5822	0
0_50	0 - 50	Apodemia		115927088504184	Facebook	20	1	4088215	1734584	1973	0
0_50	0 - 50	Dungeon Defenders		107960282569653	Facebook	266	1	3964984	1320143	22554	0
0_50	0 - 50	UAB "BPN LT"		AR135010682042056704	Google	30	1	3949517	394951	1234	0
0_50	0 - 50	Right To Vote	Right to Vote	408236463256774	Facebook	281	1	3849433	870759	23185	0
0_50	0 - 50	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	594	1	3778608	869285	58622	0
0_50	0 - 50	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	90	1	3628619	312670	3702	0
0_50	0 - 50	The Labour Party	The Labour Party	25749647410	Facebook	412	1	3430164	790093	33994	0
0_50	0 - 50	Katarina Barley	SPD	1522202731410785	Facebook	312	1	3405056	822432	30791	0
0_50	0 - 50	RMDSZ	RMDSZ	102601499822802	Facebook	201	1	3402740	801036	3292	38
0_50	0 - 50	Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	143	1	3382296	799503	14112	0
0_50	0 - 50	Rumilus Design Oy		AR391102333313875968	Google	32	1	3373546	320898	1316	0
0_50	0 - 50	Rädda Barnen		72659261793	Facebook	398	1	3347686	834128	14995	4881
0_50	0 - 50	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	164	1	3309502	845360	16185	0
0_50	0 - 50	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	132	1	3307721	246844	5430	0
0_50	0 - 50	Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	83	1	3276686	708786	8191	0
0_50	0 - 50	ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	53	1	3250123	312670	2180	0
0_50	0 - 50	DIE LINKE	DIE LINKE	47694585682	Facebook	233	1	3184822	825422	22995	0
