age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	17344	4518	81176917	30438703	323400	27374
18_24	18-24	127763	19468	828361865	313083048	5283887	749200
25_34	25-34	144333	21201	933349570	348140940	6622996	989646
35_44	35-44	147098	21071	734722908	268092521	5664784	833587
45_54	45-54	143821	20463	640970799	227134129	5341052	748275
55_64	55-64	136898	19392	503074432	173682054	4416045	571544
65_	65+	124427	17644	363519881	124090596	3363009	441036
