audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m18_24	male (18-24)	BE	Belgium	9205	1859	46257004	17850029	294810	54281
m25_34	male (25-34)	BE	Belgium	10424	2031	42138944	16426450	284797	52084
f18_24	female (18-24)	BE	Belgium	9394	1905	41412404	16022318	242276	43159
f25_34	female (25-34)	BE	Belgium	10598	2089	32600136	12839383	209998	37401
m35_44	male (35-44)	BE	Belgium	10252	1991	30350667	11626443	209872	36949
f35_44	female (35-44)	BE	Belgium	10452	2048	24396164	9383889	163117	28280
m45_54	male (45-54)	BE	Belgium	9785	1914	24273363	9110442	177772	31040
f45_54	female (45-54)	BE	Belgium	10028	1979	21467419	8099037	154764	26779
f55_64	female (55-64)	BE	Belgium	9032	1841	18350655	6637140	146638	23918
m55_64	male (55-64)	BE	Belgium	8886	1800	17139636	6144275	139213	22599
f65_	female (65+)	BE	Belgium	8215	1672	12727906	4489125	111709	17654
m65_	male (65+)	BE	Belgium	8084	1632	10973912	3857635	96453	15232
f13_17	female (13-17)	BE	Belgium	1315	419	3268379	1261799	16405	2065
m13_17	male (13-17)	BE	Belgium	1283	403	2544427	992558	13453	1861
u35_44	unknown (35-44)	BE	Belgium	8139	1741	481052	181289	3426	582
u25_34	unknown (25-34)	BE	Belgium	7813	1721	419629	160299	2905	500
u45_54	unknown (45-54)	BE	Belgium	7363	1625	257064	94689	1967	328
u55_64	unknown (55-64)	BE	Belgium	5979	1452	143949	51639	1169	188
u18_24	unknown (18-24)	BE	Belgium	5838	1385	132926	49498	902	148
u65_	unknown (65+)	BE	Belgium	5324	1313	116205	40623	1001	150
u13_17	unknown (13-17)	BE	Belgium	726	297	7935	2978	46	4
