location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	8476	354	138811755	50148997	1894583	267142
flemish_region_BE	Flemish Region, Belgium	3204	495	120668685	47105506	1237227	295773
attica_region_EL	Attica (region), Greece	2245	321	68813726	27201538	304778	50471
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	13751	337	56654883	17708341	797491	46879
lombardia_IT	Lombardia, Italy	2359	422	36695217	13608333	211265	32781
baden_wurttemberg_DE	Baden-Württemberg, Germany	14129	352	36156627	10343483	724043	31234
budapest_HU	Budapest, Hungary	1339	136	34387701	13778379	120129	44765
bayern_DE	Bayern, Germany	11021	282	33534969	11319724	404162	44818
wallonia_BE	Wallonia, Belgium	1819	354	30251361	10759400	240879	41833
cataluna_ES	Cataluña, Spain	1287	187	29589446	11331651	250577	47506
vienna_AT	Vienna, Austria	1130	148	28972110	11688709	245700	53093
niedersachsen_DE	Niedersachsen, Germany	12699	261	27150686	7695065	466560	20719
andalusia_ES	Andalusia, Spain	996	130	25443560	9955731	203687	38414
central_macedonia_EL	Central Macedonia, Greece	1589	259	24773762	9868339	95476	16351
hessen_DE	Hessen, Germany	11838	255	24725614	7772211	391022	25541
masovian_voivodeship_PL	Masovian Voivodeship, Poland	1463	149	24384594	8603553	104343	25597
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	1001	131	23522336	9205695	240962	53353
campania_IT	Campania, Italy	1619	313	23392722	9059417	104320	16568
piedmont_IT	Piedmont, Italy	2230	380	23391029	8087004	150649	21564
stockholm_county_SE	Stockholm County, Sweden	2639	279	22926768	8362694	278102	72940
lazio_IT	Lazio, Italy	1818	336	22732042	8516913	115467	15527
brussels_BE	Brussels, Belgium	2246	353	21775997	7414779	222639	39783
emilia_romagna_IT	Emilia-Romagna, Italy	2110	396	21763487	7785964	125905	15321
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	2200	277	20947029	6479016	246441	62173
vastra_gotaland_county_SE	Västra Götaland County, Sweden	2345	258	18499475	6971091	219173	58616
veneto_IT	Veneto, Italy	1889	377	17842390	6733731	105378	13998
central_denmark_region_DK	Central Denmark Region, Denmark	2518	258	17472355	5442254	208930	52241
sicilia_IT	Sicilia, Italy	1370	273	17147873	6389494	76326	11317
tuscany_IT	Tuscany, Italy	1932	366	16269005	5854177	94568	10166
berlin_DE	Berlin, Germany	8621	244	16156390	5225482	166293	19480
