advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Christ4ro News		33424557041	Facebook	olt_county_RO	Olt County, Romania	2	1	365	182	3	0
Alliance of Conservatives and Reformists in Europe	ACRE 	134931073377586	Facebook	olt_county_RO	Olt County, Romania	1	1	228	45	2	0
EuroJobs Romania		1850976141839208	Facebook	olt_county_RO	Olt County, Romania	1	1	224	112	0	0
Plictisescu.ro		184028071751540	Facebook	olt_county_RO	Olt County, Romania	1	1	171	85	0	0
Cristina Prună	PRUNA CRISTINA-MADALINA	281341562263123	Facebook	olt_county_RO	Olt County, Romania	2	1	160	25	1	0
Kárpát-medencei Magyar Összefogás	Kárpát-medencei Magyar Összefogás	221361328752151	Facebook	olt_county_RO	Olt County, Romania	19	1	149	51	0	0
Socioblog.ro	ZODIAN ALEXANDRU-SERBAN	815735411826201	Facebook	olt_county_RO	Olt County, Romania	1	1	146	73	0	0
Europe Thinx		335839580440114	Facebook	olt_county_RO	Olt County, Romania	1	1	134	26	0	0
UNPR Sector 6		1499561713619805	Facebook	olt_county_RO	Olt County, Romania	1	1	126	63	1	0
Lazar I. Bogdan		363615250703159	Facebook	olt_county_RO	Olt County, Romania	1	1	103	20	0	0
Gabriela Mirescu		2618888988127707	Facebook	olt_county_RO	Olt County, Romania	2	1	101	50	0	0
Erdélyi magyarok Orbán Viktor mellett	Erdélyi magyarok Orbán Viktor mellett	1537537942983268	Facebook	olt_county_RO	Olt County, Romania	17	1	100	23	0	0
USR Buzău		1140510482748359	Facebook	olt_county_RO	Olt County, Romania	1	1	82	16	0	0
Legyen ELÉG	Legyen Elég	1500893963467932	Facebook	olt_county_RO	Olt County, Romania	11	1	81	18	0	0
Radu Mihaiu	Mihaiu Radu-Nicolae	689386518104305	Facebook	olt_county_RO	Olt County, Romania	1	1	80	16	0	0
Cornel Radu Loghin	RADU-LOGHIN CORNEL	429437337859107	Facebook	olt_county_RO	Olt County, Romania	2	1	75	11	0	0
Marinela V. Ardelean		346137638884956	Facebook	olt_county_RO	Olt County, Romania	1	1	72	14	0	0
Mága Zoltán hegedűművész		164762586881530	Facebook	olt_county_RO	Olt County, Romania	1	1	68	34	0	0
Florin Bivol		2253449691332190	Facebook	olt_county_RO	Olt County, Romania	1	1	62	12	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	olt_county_RO	Olt County, Romania	1	1	52	26	0	0
Un colt de suflet		1446870045551264	Facebook	olt_county_RO	Olt County, Romania	2	1	47	5	0	0
Stop AAAS Ro		1640996242671731	Facebook	olt_county_RO	Olt County, Romania	2	1	31	0	2	0
Kelemen Hunor	RMDSZ	175293925828191	Facebook	olt_county_RO	Olt County, Romania	4	1	18	4	0	0
Csomortányi István	Erdélyi Magyar Néppárt	450693115669004	Facebook	olt_county_RO	Olt County, Romania	1	1	12	2	0	0
Big News Buzz		125179374733697	Facebook	olt_county_RO	Olt County, Romania	1	1	12	6	0	0
Vincze Loránt	Vincze Loránt	675042232534141	Facebook	olt_county_RO	Olt County, Romania	2	1	11	2	0	0
USR Argeș	Uniunea Salvati Romania	987000488084806	Facebook	olt_county_RO	Olt County, Romania	3	1	11	2	0	0
USR Timiș		873737539404529	Facebook	olt_county_RO	Olt County, Romania	1	1	11	0	0	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	olt_county_RO	Olt County, Romania	2	1	6	0	0	0
La Pensie		1092535407579725	Facebook	olt_county_RO	Olt County, Romania	1	1	6	0	0	0
Calculat si linistit		821298314618173	Facebook	olt_county_RO	Olt County, Romania	1	1	5	0	0	0
ITUC		20556338116	Facebook	olt_county_RO	Olt County, Romania	1	1	1	0	0	0
Tom MacDonald		212732770186	Facebook	olt_county_RO	Olt County, Romania	1	1	1	0	0	0
