location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
siauliai_county_LT	Šiauliai County, Lithuania	32	13	113500	29950	779	32
latgale_LV	Latgale, Latvia	45	12	112808	23590	553	0
moravian_silesian_region_CZ	Moravian-Silesian Region, Czechia	98	30	110004	31440	461	111
arad_county_RO	Arad County, Romania	69	33	107930	43838	196	43
sofia_city_province_BG	Sofia City Province, Bulgaria	43	17	107551	38859	949	7
gorj_county_RO	Gorj County, Romania	65	34	101118	38431	199	37
alba_county_RO	Alba County, Romania	87	42	100963	36299	192	44
friesland_NL	Friesland, Netherlands	56	20	98717	36380	648	70
neamt_county_RO	Neamț County, Romania	65	33	98701	38248	184	45
klaipeda_county_LT	Klaipėda County, Lithuania	30	13	98606	26836	616	38
alytus_county_LT	Alytus County, Lithuania	23	12	97391	24288	235	8
marijampole_county_LT	Marijampolė County, Lithuania	22	12	94418	23694	229	8
kalmar_county_SE	Kalmar County, Sweden	103	38	93511	27060	991	190
basilicata_IT	Basilicata, Italy	134	69	92702	33423	619	27
limerick_IE	Limerick, Ireland	49	18	91604	27205	639	43
ostergotland_county_SE	Östergötland County, Sweden	94	39	91529	29614	1145	249
botosani_county_RO	Botoșani County, Romania	64	32	90580	35663	155	39
groningen_NL	Groningen, Netherlands	51	18	88242	33879	521	66
central_slovenia_statistical_region_SI	Central Slovenia Statistical Region, Slovenia	47	16	87954	20815	1387	0
olomouc_region_CZ	Olomouc Region, Czechia	119	28	87559	24918	355	92
jonkoping_county_SE	Jönköping County, Sweden	92	38	84619	28159	1109	274
drenthe_NL	Drenthe, Netherlands	53	19	81311	31170	452	60
zadar_county_HR	Zadar County, Croatia	81	27	80243	23281	341	7
orebro_county_SE	Örebro County, Sweden	99	38	79905	22499	989	244
limassol_district_CY	Limassol District, Cyprus	30	18	79904	21370	484	1
dambovita_county_RO	Dâmbovița County, Romania	60	32	79549	32201	127	36
varna_province_BG	Varna Province, Bulgaria	43	17	78997	22850	364	2
southwest_finland_FI	Southwest Finland, Finland	74	39	78615	20032	1204	117
braga_district_PT	Braga District, Portugal	18	8	78090	28195	184	48
limousin_FR	Limousin, France	38	7	76408	31926	174	36
valcea_county_RO	Vâlcea County, Romania	65	33	75917	28474	129	34
burgenland_AT	Burgenland, Austria	105	41	74921	25233	610	80
zlin_region_CZ	Zlín Region, Czechia	118	29	74125	21034	299	72
braila_county_RO	Brăila County, Romania	62	32	72791	28962	134	33
tartu_county_EE	Tartu County, Estonia	45	10	71762	17011	708	46
covasna_county_RO	Covasna County, Romania	71	32	71392	24270	116	18
central_bohemian_region_CZ	Central Bohemian Region, Czechia	87	26	71182	20793	229	53
salaj_county_RO	Sălaj County, Romania	73	36	70437	27366	138	23
olt_county_RO	Olt County, Romania	60	31	69986	26969	109	30
vaslui_county_RO	Vaslui County, Romania	65	35	68757	26430	171	31
panevezys_county_LT	Panevėžys County, Lithuania	27	13	67497	18121	275	22
zeeland_NL	Zeeland, Netherlands	62	26	66394	22356	435	39
vukovar_srijem_county_HR	Vukovar-Srijem County, Croatia	82	29	64812	19666	355	8
varmland_county_SE	Värmland County, Sweden	88	37	64656	23888	791	199
flevoland_NL	Flevoland, Netherlands	54	18	63716	20034	374	34
gozo_MT	Gozo, Malta	81	25	62524	13699	713	16
navarra_ES	Navarra, Spain	85	18	62393	22052	498	20
telsiai_county_LT	Telšiai County, Lithuania	24	12	62338	20471	254	10
corse_FR	Corse, France	39	8	62176	25357	146	29
vrancea_county_RO	Vrancea County, Romania	60	32	62167	24507	106	29
brod_posavina_county_HR	Brod-Posavina County, Croatia	81	28	61313	19070	345	8
county_tipperary_IE	County Tipperary, Ireland	39	18	61175	17508	438	37
drava_statistical_region_SI	Drava Statistical Region, Slovenia	59	15	61167	12858	1150	0
usti_nad_labem_region_CZ	Ústí nad Labem Region, Czechia	75	25	59773	20240	237	58
uppsala_county_SE	Uppsala County, Sweden	91	37	59718	19139	712	150
setubal_district_PT	Setúbal District, Portugal	18	8	59699	21498	154	37
vastmanland_county_SE	Västmanland County, Sweden	89	37	59611	18554	728	184
famagusta_district_CY	Famagusta District, Cyprus	28	18	57658	18743	224	1
mehedinti_county_RO	Mehedinți County, Romania	60	32	57436	21815	98	26
plovdiv_province_BG	Plovdiv Province, Bulgaria	43	17	57036	21205	455	2
kildare_IE	Kildare, Ireland	39	21	56505	19793	491	22
dalarna_county_SE	Dalarna County, Sweden	89	37	56398	18958	758	158
plzen_region_CZ	Plzeň Region, Czechia	85	27	56184	16508	191	46
sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	83	30	55390	16760	315	7
gavleborg_county_SE	Gävleborg County, Sweden	83	35	53690	18080	686	142
molise_IT	Molise, Italy	132	65	52966	18518	320	14
larnaca_district_CY	Larnaca District, Cyprus	30	18	52842	14196	323	1
sibenik_knin_county_HR	Šibenik-Knin County, Croatia	83	28	52713	14568	258	4
cantabria_ES	Cantabria, Spain	42	14	52299	20311	119	26
stara_zagora_province_BG	Stara Zagora Province, Bulgaria	43	18	52180	19613	268	16
halland_county_SE	Halland County, Sweden	96	42	51738	15523	646	132
waterford_IE	Waterford, Ireland	39	16	51326	14745	428	35
ialomita_county_RO	Ialomița County, Romania	56	30	50772	19708	83	22
wexford_IE	Wexford, Ireland	22	14	50240	15004	238	39
varazdin_county_HR	Varaždin County, Croatia	80	28	49982	15562	255	6
county_mayo_IE	County Mayo, Ireland	42	19	49541	20086	283	33
aveiro_district_PT	Aveiro District, Portugal	18	8	48426	17846	117	30
sodermanland_county_SE	Södermanland County, Sweden	86	38	46958	15768	598	124
pleven_province_BG	Pleven Province, Bulgaria	42	17	46698	18140	262	15
savinja_statistical_region_SI	Savinja Statistical Region, Slovenia	58	14	45556	10277	715	0
calarasi_county_RO	Călărași County, Romania	59	31	45100	17477	71	20
dubrovnik_neretva_county_HR	Dubrovnik-Neretva County, Croatia	80	27	43594	13371	251	5
vasterbotten_county_SE	Västerbotten County, Sweden	80	36	43203	14504	533	115
hradec_kralove_region_CZ	Hradec Králové Region, Czechia	77	27	43038	12978	177	42
teleorman_county_RO	Teleorman County, Romania	59	33	43032	17322	68	19
norrbotten_county_SE	Norrbotten County, Sweden	83	35	43029	14537	549	114
coimbra_district_PT	Coimbra District, Portugal	18	8	43019	14987	116	21
southern_ostrobothnia_FI	Southern Ostrobothnia, Finland	50	34	42626	9810	523	46
south_bohemian_region_CZ	South Bohemian Region, Czechia	74	26	42297	12991	172	40
