week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-15	ES	Spain	4623	268	20667556	6713858	263215	7718
w019	Week 19	2019-05-06	2019-05-12	ES	Spain	4108	320	34976791	13224152	303585	21976
w018	Week 18	2019-04-29	2019-05-05	ES	Spain	2923	298	18572889	6705394	146439	10943
w017	Week 17	2019-04-22	2019-04-28	ES	Spain	9053	423	247788243	98230674	1878915	302369
w016	Week 16	2019-04-15	2019-04-21	ES	Spain	6515	456	137006058	47460794	895046	97391
w015	Week 15	2019-04-08	2019-04-14	ES	Spain	2104	601	41119586	17205199	212854	39777
w014	Week 14	2019-04-01	2019-04-07	ES	Spain	1272	538	11230350	4491249	54001	6721
w013	Week 13	2019-03-25	2019-03-31	ES	Spain	1102	450	13823257	5796287	65971	9739
w012	Week 12	2019-03-18	2019-03-24	ES	Spain	1266	423	8006011	2931381	69744	3720
w011	Week 11	2019-03-11	2019-03-17	ES	Spain	776	308	10702127	3994806	62308	7786
w010	Week 10	2019-03-04	2019-03-10	ES	Spain	767	280	6877538	2660267	43605	1779
w009	Week 9	2019-02-25	2019-03-03	ES	Spain	289	118	2451214	977620	9765	657
w008	Week 8	2019-02-18	2019-02-24	ES	Spain	214	91	2655051	1165633	6349	770
w007	Week 7	2019-02-11	2019-02-17	ES	Spain	193	78	3761049	1598280	22534	7492
w006	Week 6	2019-02-04	2019-02-10	ES	Spain	173	64	1826658	666858	10176	1404
w005	Week 5	2019-01-28	2019-02-03	ES	Spain	193	62	2211547	911582	6733	642
w004	Week 4	2019-01-21	2019-01-27	ES	Spain	274	52	1735859	553359	17516	474
w003	Week 3	2019-01-14	2019-01-20	ES	Spain	145	52	926605	350906	3933	570
w002	Week 2	2019-01-07	2019-01-13	ES	Spain	117	45	516260	142294	4069	489
w001	Week 1	2019-01-01	2019-01-06	ES	Spain	105	41	607344	193175	4210	571
