country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PL	Poland	masovian_voivodeship	Masovian Voivodeship	4752	1119	20194217	7136756	85859	17772
PL	Poland	silesian_voivodeship	Silesian Voivodeship	3968	987	10107825	3297805	24883	3971
PL	Poland	lublin_voivodeship	Lublin Voivodeship	3402	829	6629966	2494705	15150	2886
PL	Poland	kuyavian_pomeranian_voivodeship	Kuyavian-Pomeranian Voivodeship	3491	861	4827669	1489157	13978	2198
PL	Poland	pomeranian_voivodeship	Pomeranian Voivodeship	3665	913	4715791	1513249	14166	2427
PL	Poland	lodz_voivodeship	Łódź Voivodeship	3712	912	4488931	1459259	12212	1895
PL	Poland	greater_poland_voivodeship	Greater Poland Voivodeship	3841	962	4352995	1593733	11047	1894
PL	Poland	lesser_poland_voivodeship	Lesser Poland Voivodeship	3948	1002	3947109	1371794	12846	1938
PL	Poland	lower_silesian_voivodeship	Lower Silesian Voivodeship	3828	1004	3477088	1174210	11146	1723
PL	Poland	west_pomeranian_voivodeship	West Pomeranian Voivodeship	3439	857	2340529	662058	8572	1088
PL	Poland	warmian_masurian_voivodeship	Warmian-Masurian Voivodeship	3188	777	1663209	548393	3728	739
PL	Poland	podkarpackie_voivodeship	Podkarpackie Voivodeship	3169	807	1361979	472129	3828	551
PL	Poland	podlaskie_voivodeship	Podlaskie Voivodeship	3083	765	1070869	331223	2749	434
PL	Poland	swietokrzyskie_voivodeship	Świętokrzyskie Voivodeship	3048	738	858609	257761	2501	384
PL	Poland	lubusz_voivodeship	Lubusz Voivodeship	3107	802	518783	145823	1868	233
PL	Poland	opole_voivodeship	Opole Voivodeship	3098	782	436027	116446	1074	97
