age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
35_44	35-44	FI	Finland	Sosialidemokraatit SDP		108945982480217	Facebook	294	1	3610661	1398141	23931	5676
35_44	35-44	FI	Finland	European Parliament		178362315106	Facebook	51	1	1891028	904742	13704	5291
35_44	35-44	FI	Finland	Vihreät - De Gröna		33722070600	Facebook	31	1	497119	193115	1929	445
35_44	35-44	FI	Finland	Keskusta	Suomen Keskusta	55312855747	Facebook	33	1	326137	79541	1445	142
35_44	35-44	FI	Finland	Oatly		585888148224935	Facebook	5	1	251633	98703	1295	307
35_44	35-44	FI	Finland	Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	14	1	204828	76642	1807	434
35_44	35-44	FI	Finland	Kokoomus	Kokoomus	201285237101	Facebook	252	1	200746	42742	5041	184
35_44	35-44	FI	Finland	WWF Suomi		119054448115588	Facebook	7	1	176666	86472	762	248
35_44	35-44	FI	Finland	K-Supermarket		380462231997295	Facebook	6	1	156268	66768	2949	667
35_44	35-44	FI	Finland	Viite - Tieteen ja teknologian vihreät		73631194779	Facebook	6	1	125868	48907	261	23
35_44	35-44	FI	Finland	Kaisa Penny		259256970891807	Facebook	40	1	117483	34072	1210	53
35_44	35-44	FI	Finland	Veli Paasimaa eduskuntaan		2500363800014955	Facebook	5	1	110348	43704	1172	217
35_44	35-44	FI	Finland	Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	271	1	108540	15467	5094	0
35_44	35-44	FI	Finland	Greenpeace Suomi	Greenpeace Suomi	9227859351	Facebook	22	1	97038	22881	1131	153
35_44	35-44	FI	Finland	Miapetra Kumpula-Natri		922311201130062	Facebook	31	1	92326	27956	965	164
35_44	35-44	FI	Finland	Kialo		729627343834501	Facebook	334	1	81864	32819	587	160
35_44	35-44	FI	Finland	Antton Rönnholm	Rekilä Piia Annikki	575908612596562	Facebook	24	1	81342	27059	922	110
35_44	35-44	FI	Finland	Mikkel Näkkäläjärvi		617733068345315	Facebook	70	1	80173	18723	1204	23
35_44	35-44	FI	Finland	Mikko Kiesiläinen		993610757425045	Facebook	3	1	78689	32303	1849	510
35_44	35-44	FI	Finland	Eurovaaliehdokas Kari Kallonen	Kallonen Kari Markku	2130226653737235	Facebook	32	1	73338	15633	835	94
35_44	35-44	FI	Finland	Finlands svenska socialdemokrater - FSD		174819292560785	Facebook	8	1	66836	14518	406	60
35_44	35-44	FI	Finland	Neste		1083597725003936	Facebook	1	1	64524	25809	645	129
35_44	35-44	FI	Finland	Työehtoshoppailu		1602354766564898	Facebook	1	1	63822	31911	1595	319
35_44	35-44	FI	Finland	Ykkösketjuun		2118628725055114	Facebook	3	1	61684	27798	358	71
35_44	35-44	FI	Finland	Petri Sarvamaa	Petri Sarvamaa	164624737027350	Facebook	13	1	61225	12699	317	36
