gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	MT	Malta	4632	804	22657538	7731310	125072	10445
m	male	MT	Malta	4403	778	30900335	10330121	167527	13045
u	unknown	MT	Malta	4171	725	270733	90815	1540	129
