platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	BE	Belgium	sp.a	sp.a	57253967150	Facebook	424	1	41703539	16654985	197875	42699
f	Facebook	BE	Belgium	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	118	1	28527633	11797897	89579	22798
f	Facebook	BE	Belgium	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	26125934	12008000	176934	39200
f	Facebook	BE	Belgium	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	107	1	22985853	9864983	204692	47699
f	Facebook	BE	Belgium	European Parliament		178362315106	Facebook	174	1	17380399	7433002	118372	25712
f	Facebook	BE	Belgium	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	114	1	11643963	5531538	45181	9299
f	Facebook	BE	Belgium	Open Vld	Open Vld	53668151866	Facebook	347	1	10564946	3875796	82148	14299
f	Facebook	BE	Belgium	Sign for my Future		1345513882259768	Facebook	75	1	8856926	3743000	65225	15400
f	Facebook	BE	Belgium	Groen	Groen	84920854319	Facebook	183	1	7822064	2766422	37503	5399
f	Facebook	BE	Belgium	John Crombez	sp.a	264131406977201	Facebook	85	1	7138914	2885999	41814	8399
f	Facebook	BE	Belgium	Peter Mertens	PVDA	236485149843971	Facebook	573	1	7073040	2059042	86327	8787
f	Facebook	BE	Belgium	Facebook Brussels	Facebook	287739491272583	Facebook	16	1	6549985	2830000	63484	16300
f	Facebook	BE	Belgium	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	80	1	5959900	2430996	116919	25999
f	Facebook	BE	Belgium	IKEA	IKEA	112961202185776	Facebook	78	1	5070907	1930992	19621	3799
f	Facebook	BE	Belgium	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	131	1	4951784	1765978	57166	12899
f	Facebook	BE	Belgium	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	107	1	4300118	1428457	27378	4797
f	Facebook	BE	Belgium	DéFI	DéFI	173518112695794	Facebook	151	1	4252627	1004943	26247	3099
f	Facebook	BE	Belgium	Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	87	1	4246912	1642999	11012	600
f	Facebook	BE	Belgium	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	14	1	3649818	1529962	15484	5499
f	Facebook	BE	Belgium	Kialo		729627343834501	Facebook	372	1	3480331	1365598	26446	5874
f	Facebook	BE	Belgium	CD&V	CD&V	52997544531	Facebook	101	1	2594894	805997	18898	2500
f	Facebook	BE	Belgium	Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	13	1	2404966	990992	11586	2899
f	Facebook	BE	Belgium	European Greens	European Greens	141366725876424	Facebook	22	1	2239895	968744	14917	3758
f	Facebook	BE	Belgium	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	95	1	1972310	622813	6555	325
f	Facebook	BE	Belgium	Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	61	1	1828938	543999	9838	1499
