advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	video	Video	42	1	141810000	14180000	729050	41900
Future Innovation SRL		AR474748779908562944	Google	video	Video	16	1	78100000	7810000	273050	4800
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	video	Video	110	1	23150000	2300000	237650	6000
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	video	Video	5	1	22010000	2200000	90550	1550
Suomen Keskusta r.p.		AR441112520191639552	Google	video	Video	32	1	18950000	1880000	304700	5400
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	video	Video	15	1	17700000	1770000	214000	3900
Freiheitliche Partei Österreich		AR333020356698701824	Google	video	Video	4	1	12100000	1210000	91000	30600
SOCIALDEMOKRATIET		AR271193993235136512	Google	video	Video	18	1	10800000	1080000	333500	5850
Liberal Alliance		AR183859784640888832	Google	video	Video	89	1	9890000	940000	202150	5000
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	video	Video	36	1	8100000	800000	11250	1050
Venstres Landsorganisation		AR283015942256984064	Google	video	Video	54	1	5760000	540000	307150	5550
KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	video	Video	104	1	4910000	430000	11050	650
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	video	Video	9	1	4500000	450000	93000	1800
COALICION CANARIA		AR489541609348661248	Google	video	Video	18	1	4320000	420000	33100	750
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	video	Video	33	1	4200000	400000	95550	1950
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	video	Video	5	1	3110000	310000	90550	1550
DOPRAVA		AR56197688563073024	Google	video	Video	3	1	3000000	300000	60500	1050
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	video	Video	7	1	2410000	240000	62050	1200
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	video	Video	6	1	2400000	240000	91500	1650
Párbeszéd Magyarországért		AR567356246269624320	Google	video	Video	10	1	2350000	230000	1400	100
Sozialdemokratische Partei Österreich		AR89974685768351744	Google	video	Video	6	1	2220000	220000	61100	1100
Partido Animalista PACMA		AR145115193901318144	Google	video	Video	2	1	2000000	200000	60000	1000
Start Business Hellas Single Member P.C.		AR513164341793521664	Google	video	Video	2	1	2000000	200000	60000	1000
Socialdemokratiet		AR237678679797268480	Google	video	Video	33	1	1590000	140000	8400	750
Kresťanská únia		AR358916054556082176	Google	video	Video	3	1	1200000	120000	1050	100
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	video	Video	1	1	1000000	100000	30000	500
Hämeen Uusi Suunta ry		AR330633591832707072	Google	video	Video	18	1	900000	80000	64400	1400
Bündnis90/ Die Grünen		AR207068276079984640	Google	video	Video	9	1	810000	80000	63500	1350
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	video	Video	8	1	530000	50000	2200	200
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	video	Video	5	1	500000	50000	2500	250
Flamesite s.r.o.		AR522320249995919360	Google	video	Video	24	1	420000	20000	1650	50
Fianna Fáil		AR101183107301900288	Google	video	Video	14	1	410000	30000	2500	200
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	video	Video	4	1	400000	40000	2000	200
Sozialdemokratische Partei Deutschlands SPD		AR224933965641809920	Google	video	Video	4	1	400000	40000	1100	100
Barcelona en Comú		AR342176264901099520	Google	video	Video	20	1	290000	10000	1450	50
Vapaus ry		AR124593908880506880	Google	video	Video	6	1	240000	20000	300	0
Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"		AR420861715031261184	Google	video	Video	2	1	200000	20000	550	50
Občanská demokratická strana		AR37429025076936704	Google	video	Video	2	1	200000	20000	1000	100
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	video	Video	5	1	140000	10000	700	50
EUpositive.sk		AR348804120993333248	Google	video	Video	4	1	130000	10000	650	50
Tampereen Vihreät ry		AR4096230569279488	Google	video	Video	13	1	130000	0	650	0
HLAS		AR312619193323225088	Google	video	Video	3	1	120000	10000	600	50
Cink, s.r.o.		AR361287976015101952	Google	video	Video	3	1	120000	10000	600	50
Jukka Kopra		AR232680299937398784	Google	video	Video	2	1	110000	10000	30050	500
Michael Aastrup Jensen		AR92226485582036992	Google	video	Video	2	1	110000	10000	550	50
Alternativet		AR198061076825243648	Google	video	Video	2	1	110000	10000	30050	500
SPD Berlin		AR257142234632159232	Google	video	Video	1	1	100000	10000	30000	500
Open Vld		AR369049153717665792	Google	video	Video	1	1	100000	10000	500	50
COALICIO COMPROMIS:BLOC-INICIATIVA-VERDS		AR564955737508282368	Google	video	Video	1	1	100000	10000	500	50
W.R.P.R., s.r.o.		AR111802190602960896	Google	video	Video	1	1	100000	10000	500	50
Janika Takatalo		AR113027046556303360	Google	video	Video	9	1	90000	0	450	0
Saku Petteri Räty		AR196651502918434816	Google	video	Video	4	1	40000	0	200	0
ADDO DIGITAL IKE		AR15516582969081856	Google	video	Video	3	1	30000	0	150	0
Morten Dahlin		AR273707476816232448	Google	video	Video	3	1	30000	0	150	0
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	video	Video	2	1	20000	0	100	0
Avante Comunicación SL		AR486291452976955392	Google	video	Video	1	1	10000	0	50	0
Liberal Alliance Djursland		AR73057599863390208	Google	video	Video	1	1	10000	0	50	0
