impression_code	impression_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	ES	Spain	10888	704	10082677	0	997392	0
1k_5k	1k - 5k	ES	Spain	6036	886	26337868	5268627	519951	121
5k_10k	5k - 10k	ES	Spain	2281	539	18777056	9389467	189443	1083
10k_50k	10k - 50k	ES	Spain	3606	697	133942213	26788978	515525	63461
50k_100k	50k - 100k	ES	Spain	888	253	59064984	29532787	268887	59882
100k_200k	100k - 200k	ES	Spain	573	175	74776021	37388197	274352	87435
200k_500k	200k - 500k	ES	Spain	441	140	132879725	53151996	674908	162046
500k_1m	500k - 1m	ES	Spain	173	66	108492020	54246064	610623	154602
