advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Michał Korolko - profil publiczny	KKW Koalicja Europejska PO PSL SLD .N Zieloni (Michał Korolko)	334123340547325	Facebook	1k_5k	1k - 5k	PL	Poland	9	1	44850	8971	206	0
KUKIZ'15	Komitet Wyborczy Wyborców Kukiz'15	328170794051845	Facebook	1k_5k	1k - 5k	PL	Poland	7	1	34951	6991	161	0
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	1k_5k	1k - 5k	PL	Poland	5	1	24995	5000	115	0
Andrzej Halicki	. KKW Koalicja Europejska PO PSL SLD .N Zieloni	370319116027	Facebook	1k_5k	1k - 5k	PL	Poland	4	1	19996	4000	92	0
Krzysztof Bosak	Konfederacja KORWiN Braun Liroy Narodowcy	141833139301	Facebook	1k_5k	1k - 5k	PL	Poland	4	1	19996	4000	92	0
Bartosz Arłukowicz	KKW Koalicja Europejska PO PSL SLD .N Zieloni	152299864806918	Facebook	1k_5k	1k - 5k	PL	Poland	4	1	19996	4000	92	0
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	1k_5k	1k - 5k	PL	Poland	4	1	19995	3999	92	0
Beata Maciejewska	KW Wiosna Roberta Biedronia	359606364774932	Facebook	1k_5k	1k - 5k	PL	Poland	3	1	14997	3000	69	0
Joachim Brudziński	Joachim Brudziński	722625777782250	Facebook	1k_5k	1k - 5k	PL	Poland	3	1	14997	3000	69	0
Michał Wawrykiewicz	KKW Koalicja Europejska PO PSL SLD .N Zieloni	835519263468051	Facebook	1k_5k	1k - 5k	PL	Poland	3	1	14996	2999	69	0
Witold Pahl	Sikker sp. z o.o.	1643994439224385	Facebook	1k_5k	1k - 5k	PL	Poland	3	1	14919	2984	68	0
Bogdan Rzońca	Blue Data Bay Sp. z o.o.	247239865295508	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości	612725748801524	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Paweł Tanajno	Paweł Jan Tanajno	469702339755768	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Maciej Jarosz	KW Wiosna Roberta Biedronia	2259859161005527	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Marcin Gołaszewski	Marcin Łukasz Gołaszewski 	1500359650261089	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Front Europejski	Medium: agencja reklamowa	590514511295079	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Krzysztof Brejza	KKW Koalicja Europejska PO PSL SLD .N Zieloni	120766181437537	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9998	2000	46	0
Jan Olbrycht	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	153098244704447	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9973	1995	45	0
Małgorzata Sekuła-Szmajdzińska - kandydatka do Parlamentu Europejskiego	Katarzyna Kijakowska	420227048536701	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9973	1995	45	0
Monika Falej	KW Wiosna Roberta Biedronia	380133332829228	Facebook	1k_5k	1k - 5k	PL	Poland	2	1	9944	1989	45	0
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	1k_5k	1k - 5k	PL	Poland	1	1	4999	1000	23	0
Anita Kucharska-Dziedzic	KW Wiosna Roberta Biedronia	402330900557208	Facebook	1k_5k	1k - 5k	PL	Poland	1	1	4999	1000	23	0
