audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	FI	Finland	5146	1055	12344834	4648761	102977	18410
f25_34	female (25-34)	FI	Finland	5755	1167	10141126	3754052	88361	15354
m25_34	male (25-34)	FI	Finland	5435	1122	8321601	2923008	82691	13349
m18_24	male (18-24)	FI	Finland	4851	1012	8298775	3052549	82984	14496
f35_44	female (35-44)	FI	Finland	5777	1158	7694247	2802026	72040	12007
m35_44	male (35-44)	FI	Finland	5420	1125	6451082	2237626	65012	10202
f45_54	female (45-54)	FI	Finland	5383	1122	5919706	2082545	59623	8745
f65_	female (65+)	FI	Finland	4304	969	5142113	1604709	63236	6922
f55_64	female (55-64)	FI	Finland	4729	1060	5069517	1683347	57364	6711
m45_54	male (45-54)	FI	Finland	5062	1081	5020508	1701705	53350	7476
m55_64	male (55-64)	FI	Finland	4458	1025	3880701	1256626	44229	5087
m65_	male (65+)	FI	Finland	4089	941	3340761	1035719	40003	4415
f13_17	female (13-17)	FI	Finland	516	171	697273	235264	5143	413
m13_17	male (13-17)	FI	Finland	481	162	427757	152229	4006	398
u35_44	unknown (35-44)	FI	Finland	4499	1028	373441	131725	3455	540
u25_34	unknown (25-34)	FI	Finland	4288	987	270651	95998	2422	378
u45_54	unknown (45-54)	FI	Finland	4013	945	171641	59895	1749	247
u55_64	unknown (55-64)	FI	Finland	3248	869	90872	29541	1042	115
u18_24	unknown (18-24)	FI	Finland	3147	805	81016	29000	727	115
u65_	unknown (65+)	FI	Finland	2892	785	78510	25014	826	94
u13_17	unknown (13-17)	FI	Finland	328	148	2757	967	27	1
