impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
100k_200k	100k - 200k	CZ	Czechia	European Parliament		178362315106	Facebook	13	1	1403510	701759	6269	1767
100k_200k	100k - 200k	CZ	Czechia	Pavel Poc	Poc Pavel	202974613060409	Facebook	5	1	999995	500000	3108	854
100k_200k	100k - 200k	CZ	Czechia	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	5	1	999994	500000	3303	1010
100k_200k	100k - 200k	CZ	Czechia	ecoFuture & E.ON Energy Globe		104654572907664	Facebook	5	1	999860	499932	1694	299
100k_200k	100k - 200k	CZ	Czechia	ČSSD	ČSSD	111041662264882	Facebook	3	1	599996	299999	4274	971
100k_200k	100k - 200k	CZ	Czechia	Andrej Babiš	ANO	214827221987263	Facebook	2	1	399998	200000	2331	582
100k_200k	100k - 200k	CZ	Czechia	Tomáš Zdechovský		275042429350706	Facebook	2	1	399997	199999	3886	777
100k_200k	100k - 200k	CZ	Czechia	Kialo		729627343834501	Facebook	38	1	270335	135168	1731	514
100k_200k	100k - 200k	CZ	Czechia	European Commission		107898832590939	Facebook	3	1	201178	100589	501	100
100k_200k	100k - 200k	CZ	Czechia	TOP 09	TOP 09	90002267161	Facebook	1	1	199999	100000	388	194
100k_200k	100k - 200k	CZ	Czechia	Tvůj kandidát	Konečný Daniel	599435753834732	Facebook	1	1	199999	100000	388	194
100k_200k	100k - 200k	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	1	1	199999	99999	194	38
100k_200k	100k - 200k	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	1	1	199999	100000	388	194
100k_200k	100k - 200k	CZ	Czechia	Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	1	1	199999	100000	1943	388
100k_200k	100k - 200k	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	1	1	199999	100000	388	194
100k_200k	100k - 200k	CZ	Czechia	Svobodní		43855944703	Facebook	1	1	199998	99999	1943	388
100k_200k	100k - 200k	CZ	Czechia	Nenechme to tak	ATG Principal GROUP	224923858400165	Facebook	1	1	199995	99998	388	194
100k_200k	100k - 200k	CZ	Czechia	Daniel Herman		378072105614553	Facebook	1	1	199988	99994	194	38
100k_200k	100k - 200k	CZ	Czechia	Refork		1919696668329015	Facebook	1	1	199973	99987	194	38
100k_200k	100k - 200k	CZ	Czechia	Greens/EFA in the European Parliament		150527751674751	Facebook	6	1	86035	43018	175	34
100k_200k	100k - 200k	CZ	Czechia	Rosatom Global		1828572300805912	Facebook	1	1	53298	26649	1185	237
100k_200k	100k - 200k	CZ	Czechia	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	8	1	44509	22254	156	61
100k_200k	100k - 200k	CZ	Czechia	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	11	1	29469	14734	90	28
100k_200k	100k - 200k	CZ	Czechia	Arte		656089814494677	Facebook	2	1	27279	13639	68	13
100k_200k	100k - 200k	CZ	Czechia	Pela Case		119283008140727	Facebook	2	1	18231	9115	30	6
