country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FI	Finland	f18_24	female (18-24)	4641	1023	9595427	3493348	86512	15892
FI	Finland	f25_34	female (25-34)	5255	1136	8204345	2926349	77481	13322
FI	Finland	m25_34	male (25-34)	4924	1090	7326071	2551496	74686	12093
FI	Finland	m18_24	male (18-24)	4360	982	7174816	2629031	73946	13406
FI	Finland	f35_44	female (35-44)	5256	1129	6542983	2325916	64352	10699
FI	Finland	m35_44	male (35-44)	4914	1094	5824682	2011992	59554	9318
FI	Finland	f45_54	female (45-54)	4851	1093	5145708	1777589	52833	7894
FI	Finland	m45_54	male (45-54)	4559	1050	4597072	1553586	48583	6816
FI	Finland	f65_	female (65+)	3795	940	4594532	1449831	52371	6078
FI	Finland	f55_64	female (55-64)	4203	1031	4518157	1496341	48872	6029
FI	Finland	m55_64	male (55-64)	3959	995	3555375	1149351	39071	4493
FI	Finland	m65_	male (65+)	3600	910	3010941	938047	34143	3791
FI	Finland	f13_17	female (13-17)	499	168	685860	229648	5107	410
FI	Finland	m13_17	male (13-17)	465	159	424474	149563	3974	397
FI	Finland	u35_44	unknown (35-44)	4163	1002	322081	111825	3090	483
FI	Finland	u25_34	unknown (25-34)	3980	960	224296	77060	2139	328
FI	Finland	u45_54	unknown (45-54)	3691	923	149423	51331	1557	220
FI	Finland	u55_64	unknown (55-64)	2961	846	80598	25870	917	101
FI	Finland	u65_	unknown (65+)	2643	767	69232	21833	728	81
FI	Finland	u18_24	unknown (18-24)	2904	776	63400	21908	613	98
FI	Finland	u13_17	unknown (13-17)	310	142	2714	951	27	1
