age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
65_	65+	HR	Croatia	Ruža Tomašić		1434305366791182	Facebook	37	1	211389	52636	547	0
65_	65+	HR	Croatia	MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	39	1	198636	65922	697	60
65_	65+	HR	Croatia	Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	16	1	188299	57208	495	59
65_	65+	HR	Croatia	Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	17	1	125666	41910	276	23
65_	65+	HR	Croatia	Valter Flego	Valter Flego	441675022557503	Facebook	28	1	116482	31169	502	55
65_	65+	HR	Croatia	Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	21	1	110641	33687	300	17
65_	65+	HR	Croatia	Eclectica		1379977375431894	Facebook	1	1	98891	49446	440	88
65_	65+	HR	Croatia	Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	70	1	96499	26479	682	7
65_	65+	HR	Croatia	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	42	1	85227	39101	191	56
65_	65+	HR	Croatia	SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	7	1	62825	25040	86	10
65_	65+	HR	Croatia	Jozo Radoš	Jozo Radoš	446717938731095	Facebook	15	1	55914	13398	420	51
65_	65+	HR	Croatia	GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	10	1	53026	14080	126	2
65_	65+	HR	Croatia	Ranko Ostojić		414575348695604	Facebook	13	1	48069	10700	247	0
65_	65+	HR	Croatia	Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	12	1	45314	18922	206	18
65_	65+	HR	Croatia	Nova ljevica	Markovina Dragan	706769699498076	Facebook	16	1	40556	10701	229	0
65_	65+	HR	Croatia	Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	6	1	34163	11801	77	7
65_	65+	HR	Croatia	Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	6	1	32230	6403	200	26
65_	65+	HR	Croatia	Željana Zovko		1203134436474667	Facebook	19	1	29969	8069	259	0
65_	65+	HR	Croatia	Zoran Bahtijarević		2195720960680577	Facebook	4	1	29013	13473	83	15
65_	65+	HR	Croatia	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	49	1	27291	11576	126	30
65_	65+	HR	Croatia	Dominik Vuletić		1858121814431190	Facebook	4	1	25814	5735	58	0
65_	65+	HR	Croatia	Stjepan Čuraj		1528272037424751	Facebook	3	1	23457	7376	70	8
65_	65+	HR	Croatia	HSS Hrvatska		236043376446622	Facebook	1	1	22636	11318	22	0
65_	65+	HR	Croatia	Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	8	1	20114	4312	67	0
65_	65+	HR	Croatia	HRAST - pokret za uspješnu Hrvatsku - službene stranice		1481525755446572	Facebook	9	1	20103	4350	153	0
