audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	IE	Ireland	4294	1081	10616671	4210306	60636	9482
m18_24	male (18-24)	IE	Ireland	4053	1060	9441028	3659673	55703	8521
m25_34	male (25-34)	IE	Ireland	4492	1141	8110710	2982959	54717	8398
f25_34	female (25-34)	IE	Ireland	4862	1177	7930388	2984655	52844	8170
f35_44	female (35-44)	IE	Ireland	4820	1162	6394471	2372921	45603	6976
m35_44	male (35-44)	IE	Ireland	4455	1132	5899269	2141759	41253	6226
f45_54	female (45-54)	IE	Ireland	4573	1125	4182316	1500997	30957	4547
m45_54	male (45-54)	IE	Ireland	4224	1091	3778316	1324332	27091	3892
f55_64	female (55-64)	IE	Ireland	3839	1041	2358207	807022	17969	2464
m55_64	male (55-64)	IE	Ireland	3586	1012	1843579	616607	13645	1795
f65_	female (65+)	IE	Ireland	3289	928	1683681	570330	12746	1808
m65_	male (65+)	IE	Ireland	3088	904	1281898	426124	9359	1276
f13_17	female (13-17)	IE	Ireland	603	206	675492	245441	3362	176
m13_17	male (13-17)	IE	Ireland	562	197	463168	168495	2656	136
u35_44	unknown (35-44)	IE	Ireland	3836	996	185868	68044	1285	195
u45_54	unknown (45-54)	IE	Ireland	3455	923	108289	38229	776	112
u25_34	unknown (25-34)	IE	Ireland	3698	967	91942	33782	655	94
u18_24	unknown (18-24)	IE	Ireland	2944	811	59965	22865	403	56
u55_64	unknown (55-64)	IE	Ireland	2535	823	40739	13727	306	41
u65_	unknown (65+)	IE	Ireland	2298	751	38217	12766	284	37
u13_17	unknown (13-17)	IE	Ireland	407	160	4532	1548	31	1
