recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	EL	Greece	654	189	7588969	2729596	37091	4627
rd2	Last 2 days	2019-05-25	2019-05-26	EL	Greece	1219	288	23959018	8928798	106085	14083
rd3	Last 3 days	2019-05-24	2019-05-26	EL	Greece	1883	364	53134402	20390791	230476	34255
rd4	Last 4 days	2019-05-23	2019-05-26	EL	Greece	2169	384	80933944	31363054	344473	53260
rd5	Last 5 days	2019-05-22	2019-05-26	EL	Greece	2457	403	102750118	39984582	431052	66361
rd6	Last 6 days	2019-05-21	2019-05-26	EL	Greece	2620	413	124195998	48570082	520101	82621
rw1	Last week	2019-05-20	2019-05-26	EL	Greece	2749	420	142103284	55942395	599248	96344
rw2	Last 2 weeks	2019-05-13	2019-05-26	EL	Greece	2871	424	160098075	62924491	663510	107222
rw3	Last 3 weeks	2019-05-06	2019-05-26	EL	Greece	2871	424	160098075	62924491	663510	107222
rw4	Last 4 weeks	2019-04-29	2019-05-26	EL	Greece	2871	424	160098075	62924491	663510	107222
rm1	Last month	2019-04-27	2019-05-26	EL	Greece	2871	424	160098075	62924491	663510	107222
rm2	Last 2 months	2019-03-28	2019-05-26	EL	Greece	2871	424	160098075	62924491	663510	107222
rm3	Last 3 months	2019-02-26	2019-05-26	EL	Greece	2871	424	160098075	62924491	663510	107222
rm6	Last 6 months	2019-01-01	2019-05-26	EL	Greece	2871	424	160098075	62924491	663510	107222
