spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	CY	Cyprus	ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	84	1	2579853	770147	9475	299
0_1k	0 - 1k	CY	Cyprus	Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	28	1	1479718	558492	5524	699
0_1k	0 - 1k	CY	Cyprus	European Parliament		178362315106	Facebook	16	1	1365026	556514	4697	1101
0_1k	0 - 1k	CY	Cyprus	Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	64	1	1250862	265982	6334	0
0_1k	0 - 1k	CY	Cyprus	Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	22	1	1025369	401934	3381	300
0_1k	0 - 1k	CY	Cyprus	Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	22	1	964655	228535	2163	0
0_1k	0 - 1k	CY	Cyprus	Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	48	1	910813	203964	4751	0
0_1k	0 - 1k	CY	Cyprus	Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	24	1	757797	162964	2375	0
0_1k	0 - 1k	CY	Cyprus	Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	19	1	740880	186977	2280	100
0_1k	0 - 1k	CY	Cyprus	Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	23	1	564367	121475	2261	0
0_1k	0 - 1k	CY	Cyprus	Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	28	1	520877	118980	2771	0
0_1k	0 - 1k	CY	Cyprus	European Parliament Office in Cyprus		205478755729	Facebook	8	1	499669	159881	1990	299
0_1k	0 - 1k	CY	Cyprus	Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	38	1	467918	131986	3761	0
0_1k	0 - 1k	CY	Cyprus	UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	7	1	427309	184337	762	40
0_1k	0 - 1k	CY	Cyprus	Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	9	1	379725	114891	890	0
0_1k	0 - 1k	CY	Cyprus	Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	11	1	374896	77981	1088	0
0_1k	0 - 1k	CY	Cyprus	AKEL Türkçe	ΑΚΕΛ - AKEL	811609932267686	Facebook	6	1	360349	161684	992	99
0_1k	0 - 1k	CY	Cyprus	Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	14	1	350918	78985	1385	0
0_1k	0 - 1k	CY	Cyprus	Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	12	1	331913	71983	1187	0
0_1k	0 - 1k	CY	Cyprus	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	14	1	321965	133659	433	120
0_1k	0 - 1k	CY	Cyprus	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	37	1	287437	130405	373	99
0_1k	0 - 1k	CY	Cyprus	γυρίζουμε		278308089460720	Facebook	5	1	278443	131772	1173	338
0_1k	0 - 1k	CY	Cyprus	Παρατηρητήριο Τρίτης Ηλικίας Κύπρου		1788557328061678	Facebook	4	1	207711	71538	712	99
0_1k	0 - 1k	CY	Cyprus	Power Beach		484571345318227	Facebook	1	1	199485	99743	98	0
0_1k	0 - 1k	CY	Cyprus	Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	12	1	191987	40999	1187	0
