country_code_filter	country_name_filter	spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CY	Cyprus	0_1k	0 - 1k	1842	464	20357759	6240808	80375	4419
CY	Cyprus	1k_5k	1k - 5k	37	27	3013016	1453995	21510	4327
CY	Cyprus	5k_10k	5k - 10k	2	2	375	187	3	1
