advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AMERISOFT SRL		AR573801583431647232	Google	50_100	50 - 100	218	1	10301467	1020578	1674	0
COALICION CANARIA		AR489541609348661248	Google	50_100	50 - 100	4762	1	10230593	198445	42063	0
CDU Christlich Demokratische Union		AR68737343799951360	Google	50_100	50 - 100	4980	1	7588783	0	37943	0
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	50_100	50 - 100	176	1	7551574	749487	1559	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	50_100	50 - 100	910	1	5682285	444731	7760	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	50_100	50 - 100	2010	1	5101122	171868	17691	0
mmb media agentur d.o.o.		AR524572049809604608	Google	50_100	50 - 100	1441	1	4291392	184271	12766	0
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	50_100	50 - 100	146	1	3458628	333105	1187	0
Slovenska demokratska stranka		AR170068335415787520	Google	50_100	50 - 100	44	1	2960741	294125	372	0
HLAS		AR312619193323225088	Google	50_100	50 - 100	882	1	2799504	138203	7618	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	50_100	50 - 100	341	1	2505379	212620	2719	0
Mediabrands Digital OÜ		AR530356305605427200	Google	50_100	50 - 100	340	1	2306933	187814	3003	0
Partido Popular Regional De Canarias		AR288284801977286656	Google	50_100	50 - 100	148	1	2179360	205533	1169	0
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	50_100	50 - 100	31	1	1904726	189586	194	0
CDA Doetinchem		AR453512812329697280	Google	50_100	50 - 100	52	1	1809046	177183	434	0
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	50_100	50 - 100	28	1	1782469	177183	221	0
Sloboda a Solidarita		AR242125929453715456	Google	50_100	50 - 100	212	1	1764750	148834	1727	0
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	50_100	50 - 100	200	1	1693877	145290	1692	0
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	50_100	50 - 100	118	1	1615916	148834	983	0
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	50_100	50 - 100	163	1	1353684	120484	1107	0
Pametno		AR222880077921124352	Google	50_100	50 - 100	42	1	1254461	122256	372	0
Open Vld		AR369049153717665792	Google	50_100	50 - 100	394	1	1188903	63786	3074	0
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	50_100	50 - 100	96	1	1015263	93907	611	0
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	50_100	50 - 100	46	1	832763	81504	256	0
Cink, s.r.o.		AR361287976015101952	Google	50_100	50 - 100	39	1	804414	77960	274	0
Rumilus Design Oy		AR391102333313875968	Google	50_100	50 - 100	32	1	726453	69101	283	0
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	50_100	50 - 100	214	1	712278	53155	1169	0
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	50_100	50 - 100	103	1	699876	67329	469	0
Strana nezávislosti České republiky		AR465054111008555008	Google	50_100	50 - 100	15	1	678614	67329	124	0
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	50_100	50 - 100	187	1	662667	46067	1240	0
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	50_100	50 - 100	18	1	649981	234996	1392	278
HEADS, s.r.o.		AR356967719951663104	Google	50_100	50 - 100	28	1	572303	56698	150	0
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	50_100	50 - 100	274	1	563444	8859	2418	0
Flamesite s.r.o.		AR522320249995919360	Google	50_100	50 - 100	210	1	554585	21262	1816	0
UAB "BPN LT"		AR135010682042056704	Google	50_100	50 - 100	34	1	496114	49611	248	0
Det Konservative Folkeparti		AR40969452518375424	Google	50_100	50 - 100	273	1	492571	5315	2223	0
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	50_100	50 - 100	277	1	455362	0	2276	0
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	50_100	50 - 100	61	1	437644	37208	434	0
TOP 09		AR268709096956362752	Google	50_100	50 - 100	156	1	403979	14174	1382	0
Fianna Fáil		AR101183107301900288	Google	50_100	50 - 100	35	1	384488	35436	248	0
Gestion et Action Libérale		AR201311233196949504	Google	50_100	50 - 100	207	1	345508	0	1727	0
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	50_100	50 - 100	79	1	310071	21262	593	0
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	50_100	50 - 100	174	1	302984	0	1514	0
Občanska demokraticka strana		AR386241117529571328	Google	50_100	50 - 100	62	1	292353	19490	504	0
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	50_100	50 - 100	10	1	274598	69899	579	116
Conservatives	The Conservative Party	8807334278	Facebook	50_100	50 - 100	728	1	266182	41875	12934	0
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	50_100	50 - 100	56	1	260460	21262	345	0
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	50_100	50 - 100	95	1	223251	7087	797	0
Savo-Karjalan vihreät ry		AR343251587273064448	Google	50_100	50 - 100	24	1	217936	19490	212	0
Partido Animalista PACMA		AR145115193901318144	Google	50_100	50 - 100	9	1	216164	21262	44	0
Progresívne Slovensko		AR114793686864232448	Google	50_100	50 - 100	25	1	209076	19490	168	0
GREEN DAY, s.r.o		AR423241058193768448	Google	50_100	50 - 100	57	1	201989	12402	451	0
SF - Socialistisk Folkeparti		AR76998249537339392	Google	50_100	50 - 100	116	1	189586	0	947	0
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	50_100	50 - 100	86	1	184271	10631	442	0
Liberal Alliance		AR183859784640888832	Google	50_100	50 - 100	158	1	182499	0	912	0
Bündnis90/ Die Grünen		AR207068276079984640	Google	50_100	50 - 100	129	1	175411	0	877	0
Projekt Európa		AR303746959120793600	Google	50_100	50 - 100	56	1	175411	8859	478	0
Liberal Alliance Djursland		AR73057599863390208	Google	50_100	50 - 100	99	1	173640	0	868	0
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	50_100	50 - 100	281	1	151637	34430	4992	0
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	50_100	50 - 100	4	1	149995	59999	309	61
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	50_100	50 - 100	3	1	149782	74891	173	34
SOCIALDEMOKRATIET		AR271193993235136512	Google	50_100	50 - 100	87	1	138203	7087	372	0
Barcelona en Comú		AR342176264901099520	Google	50_100	50 - 100	64	1	134659	3543	513	0
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	50_100	50 - 100	3	1	124818	54920	157	31
Moderaterna	Moderaterna	7719591155	Facebook	50_100	50 - 100	5	1	115577	37785	1028	205
SPOLU - občianska demokracia		AR194838133366325248	Google	50_100	50 - 100	60	1	111625	1771	478	0
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	50_100	50 - 100	22	1	111625	8859	159	0
Future Innovation SRL		AR474748779908562944	Google	50_100	50 - 100	26	1	109853	10631	70	0
Krzysztof Bosak	Konfederacja KORWiN Braun Liroy Narodowcy	141833139301	Facebook	50_100	50 - 100	5	1	104846	22467	289	58
Kankaanpään Työväenyhdistys ry		AR217573010171756544	Google	50_100	50 - 100	25	1	104538	7087	203	0
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	50_100	50 - 100	73	1	104538	1771	442	0
Freiheitliche Partei Österreich		AR333020356698701824	Google	50_100	50 - 100	45	1	102766	5315	274	0
Alfahír	Alfahír Hírportál	525574220799452	Facebook	50_100	50 - 100	4	1	99996	19999	309	61
Bogdan Rzońca	Blue Data Bay Sp. z o.o.	247239865295508	Facebook	50_100	50 - 100	4	1	99853	19971	231	46
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	50_100	50 - 100	51	1	95679	3543	318	0
Venstres Landsorganisation		AR283015942256984064	Google	50_100	50 - 100	67	1	95679	1771	398	0
EUpositive.sk		AR348804120993333248	Google	50_100	50 - 100	20	1	95679	7087	159	0
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	50_100	50 - 100	18	1	87624	19851	319	0
Unitas		AR53945888749387776	Google	50_100	50 - 100	49	1	85048	0	425	0
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	50_100	50 - 100	5	1	84996	19999	386	77
Mette Abildgaard	Mette Abildgaard	309867232515766	Facebook	50_100	50 - 100	10	1	81949	20926	404	182
Elżbieta Łukacijewska	EPL	271399596270991	Facebook	50_100	50 - 100	4	1	79882	17474	231	46
Front Europejski	Medium: agencja reklamowa	590514511295079	Facebook	50_100	50 - 100	4	1	79882	17474	231	46
MSZP	MSZP	115388925185513	Facebook	50_100	50 - 100	2	1	74997	29999	154	30
Zelení - Strana zelených	Zelení - Strana zelených	39371299263	Facebook	50_100	50 - 100	3	1	74987	14997	291	58
Polski Klub Ekologiczny Koło Miejskie w Gliwicach	Maria Wanda Staniszewska	291839444209363	Facebook	50_100	50 - 100	3	1	74890	14978	173	34
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	50_100	50 - 100	2	1	74890	29956	104	20
PNL Oradea	PNL Oradea	304085190083197	Facebook	50_100	50 - 100	3	1	74890	14978	157	31
