spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	35425	1995	524985936	45568578	2182620	4519
50_100	50 - 100	36302	1691	104143419	8136221	226690	4000
100_1k	100 - 1k	4254	474	859047993	101300279	1231606	159579
1k_5k	1k - 5k	454	77	614553098	67045845	5645467	121652
5k_10k	5k - 10k	407	58	260315070	27072545	2405856	51207
10k_50k	10k - 50k	405	53	501105513	50109864	4236688	121942
50k_100k	50k - 100k	4	4	67456647	6745664	133798	66899
