country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BE	Belgium	w019	Week 19	3832	449	98750930	36393399	646883	106157
BE	Belgium	w018	Week 18	3142	472	68248427	27435857	477390	93400
BE	Belgium	w017	Week 17	2740	493	43657929	16892936	311126	56499
BE	Belgium	w016	Week 16	2494	548	29369474	11122153	212252	34667
BE	Belgium	w015	Week 15	2260	698	20715345	7646963	136944	21612
BE	Belgium	w014	Week 14	1739	682	12006372	4314798	82425	10947
BE	Belgium	w013	Week 13	1329	529	9309768	3401191	56228	9050
BE	Belgium	w012	Week 12	1173	474	11191767	4397623	70247	12020
BE	Belgium	w011	Week 11	779	347	5936728	2185099	43238	7307
BE	Belgium	w010	Week 10	626	260	10016719	3948051	79028	14543
