advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	65_	65+	3899	1	22111016	6518701	255794	35759
European Parliament		178362315106	Facebook	65_	65+	1002	1	8554122	3737093	56343	12473
Ciudadanos	Ciudadanos	74078667754	Facebook	65_	65+	4674	1	7763165	2402086	75647	6137
People's Vote UK	People's Vote	748608695327755	Facebook	65_	65+	3241	1	7577998	2426021	126503	20809
We are the 52%	We are the 52%	466744973727718	Facebook	65_	65+	278	1	6686836	2391177	20437	2656
38 Degrees	38 Degrees	200006375787	Facebook	65_	65+	657	1	6227095	2225396	43231	6034
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	65_	65+	400	1	6016212	2484262	27835	5209
Conservatives	The Conservative Party	8807334278	Facebook	65_	65+	1910	1	5725988	2069616	87273	10559
Podemos	Unidas Podemos	269212336568846	Facebook	65_	65+	187	1	5572498	2522462	36878	9703
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	65_	65+	3629	1	5335610	1637448	109816	10432
Partido Popular	Partido Popular	72249031214	Facebook	65_	65+	1364	1	5067654	1592570	59401	2951
The Labour Party	The Labour Party	25749647410	Facebook	65_	65+	652	1	4498535	1784333	41864	9444
SPD	SPD	47930567748	Facebook	65_	65+	6640	1	4486487	1047901	129391	4340
Best For Britain	Best for Britain	1863944713844924	Facebook	65_	65+	750	1	4279829	1774082	64603	14504
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	65_	65+	65	1	4229221	1950499	9777	4330
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	65_	65+	88	1	4004539	1799379	9010	2629
Vattenfall Sverige		608975645850217	Facebook	65_	65+	28	1	3917339	1781658	48608	13431
Fidesz	Fidesz	9844779306	Facebook	65_	65+	99	1	3688649	1762745	12563	6183
Sosialidemokraatit SDP		108945982480217	Facebook	65_	65+	241	1	3493124	1330065	23338	5048
The Brexit Party	The Brexit Party	230416667843105	Facebook	65_	65+	113	1	3303285	1554435	49694	14431
Partito Democratico	Partito Democratico	77034286895	Facebook	65_	65+	205	1	3288891	1425426	14972	3228
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	65_	65+	135	1	2775481	1145157	5339	1415
Médecins du Monde France		265420476920	Facebook	65_	65+	1897	1	2681980	821302	49100	3941
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	65_	65+	753	1	2629212	985428	46518	8104
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	65_	65+	2274	1	2535817	791185	40794	3456
