age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	25067	5608	107382204	39833675	479883	47158
18_24	18-24	184406	23783	1306677846	493903229	8002522	1194396
25_34	25-34	206553	25789	1400295102	522863686	9413869	1446488
35_44	35-44	208557	25601	1091092721	400000653	7839706	1185960
45_54	45-54	203927	24878	945597381	337439679	7381666	1070376
55_64	55-64	194292	23600	744550121	258761326	6169377	835071
65_	65+	176930	21477	531618238	181710745	4718971	653720
