gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	209714	25511	2781220295	1014357110	20606883	3013477
m	male	202883	24952	3012419277	1098636701	21263073	3074242
u	unknown	161039	22994	36126065	12689161	338303	50490
