advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w010	Week 10	HR	Croatia	15	1	333894	154400	793	46
Klub zastupnika EPP-a		378351268934576	Facebook	w010	Week 10	HR	Croatia	1	1	199998	99999	98	0
Kialo		729627343834501	Facebook	w010	Week 10	HR	Croatia	13	1	159660	74331	754	159
Nacionalni Portal		2081777548773198	Facebook	w010	Week 10	HR	Croatia	2	1	59997	14999	197	0
Izdali smo SDP, radimo za HDZ		1613986695597154	Facebook	w010	Week 10	HR	Croatia	1	1	42856	8571	75	0
Ruža Tomašić		1434305366791182	Facebook	w010	Week 10	HR	Croatia	2	1	39349	7869	77	0
Ranko Ostojić		414575348695604	Facebook	w010	Week 10	HR	Croatia	5	1	30840	7468	130	0
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	w010	Week 10	HR	Croatia	1	1	19999	4000	199	40
European Greens		141366725876424	Facebook	w010	Week 10	HR	Croatia	2	1	18763	4881	39	1
Zoran Bahtijarević		2195720960680577	Facebook	w010	Week 10	HR	Croatia	2	1	14147	7074	56	11
Electrolux Hrvatska		1229501663771543	Facebook	w010	Week 10	HR	Croatia	1	1	13698	6849	6	0
Coconut Bowls		451945511677873	Facebook	w010	Week 10	HR	Croatia	50	1	10739	2862	48	0
Bornfight		2050766478536116	Facebook	w010	Week 10	HR	Croatia	10	1	10480	2803	127	0
VoxFeminae		138026879558920	Facebook	w010	Week 10	HR	Croatia	1	1	9998	4999	98	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	w010	Week 10	HR	Croatia	5	1	9670	4476	60	16
Sanja Radolović		508755779649081	Facebook	w010	Week 10	HR	Croatia	2	1	8331	1666	165	0
HRAST - pokret za uspješnu Hrvatsku - službene stranice		1481525755446572	Facebook	w010	Week 10	HR	Croatia	7	1	6345	1709	51	0
HNS Dubrovačko-neretvanske županije	Hrvatska narodna stranka - liberalni demokrati (HNS)	161469323948491	Facebook	w010	Week 10	HR	Croatia	1	1	4999	1000	88	0
SDP Zaprešić		566781040007072	Facebook	w010	Week 10	HR	Croatia	1	1	4999	999	88	0
Forum mladih SDP Varaždinske županije		438002916345988	Facebook	w010	Week 10	HR	Croatia	1	1	4999	1000	88	0
ORaH		215268971970847	Facebook	w010	Week 10	HR	Croatia	1	1	3749	1875	33	0
SDP - Bjelovarsko bilogorske županije		204591930210757	Facebook	w010	Week 10	HR	Croatia	1	1	3332	666	58	0
World Food Programme		28312410177	Facebook	w010	Week 10	HR	Croatia	1	1	2610	522	4	0
Dalibor Dado Milas		281684225836803	Facebook	w010	Week 10	HR	Croatia	1	1	1947	389	3	0
Fire Safe Europe - FSEU		238789186294640	Facebook	w010	Week 10	HR	Croatia	1	1	1860	372	3	0
