advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Facebook Nordic	Facebook	334318366655425	Facebook	500k_1m	500k - 1m	SE	Sweden	4	1	3999992	1999998	18521	3704
Vattenfall Sverige		608975645850217	Facebook	500k_1m	500k - 1m	SE	Sweden	3	1	2999996	1499999	27781	13891
EU-kommissionen i Sverige		155824787799	Facebook	500k_1m	500k - 1m	SE	Sweden	3	1	2999909	1499956	13890	2778
European Commission		107898832590939	Facebook	500k_1m	500k - 1m	SE	Sweden	4	1	2002882	1001442	15009	6001
Fotografiska Stockholm		142320852554	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	999999	500000	462	92
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	999998	499999	4630	926
S i världen- En rättvis värld är möjlig		229936971031161	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	999997	499999	4630	926
Håll Sverige Rent	Håll Sverige Rent	236879092476	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	999749	499875	4629	925
Skandia		139767876088719	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	999633	499817	4628	925
Europaparlamentets kontor i Sverige		293678655099	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	999506	499753	4996	999
European Greens		141366725876424	Facebook	500k_1m	500k - 1m	SE	Sweden	5	1	219733	109867	934	199
Kialo		729627343834501	Facebook	500k_1m	500k - 1m	SE	Sweden	11	1	147730	73865	843	280
Game of Sultans		185311195624361	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	20835	10418	927	185
Wholesome Culture		1664959567149320	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	19623	9812	87	17
Industria		252084118203234	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	18458	9229	10	2
GRUNDIG		1508163162762486	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	10980	5490	8	1
Pologize Fashion		274227073497806	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	10200	5100	90	45
MasterClass		687589164666184	Facebook	500k_1m	500k - 1m	SE	Sweden	2	1	10054	5027	44	8
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	10015	5008	50	10
DigitalOcean		149515305173840	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	9288	4644	41	8
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	500k_1m	500k - 1m	SE	Sweden	7	1	8447	4224	11	3
European Parliament		178362315106	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	3776	1888	18	3
European Youth Event		919232861444360	Facebook	500k_1m	500k - 1m	SE	Sweden	2	1	3340	1670	15	3
MmosWorld		1262271977168621	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	3322	1661	2	0
Europe Together		140105536131109	Facebook	500k_1m	500k - 1m	SE	Sweden	1	1	3076	1538	15	3
