country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
NL	Netherlands	w020	Week 20	2019-05-13	2019-05-13	763	144	1843740	769306	13426	2524
NL	Netherlands	w019	Week 19	2019-05-06	2019-05-12	1195	231	18625268	7928087	141464	29362
NL	Netherlands	w018	Week 18	2019-04-29	2019-05-05	1233	280	11355915	4635399	94267	20461
NL	Netherlands	w017	Week 17	2019-04-22	2019-04-28	1166	277	5096406	2026185	37870	8017
NL	Netherlands	w016	Week 16	2019-04-15	2019-04-21	1384	328	12845643	4981034	102661	19306
NL	Netherlands	w015	Week 15	2019-04-08	2019-04-14	1650	512	11030742	4523299	86957	15542
NL	Netherlands	w014	Week 14	2019-04-01	2019-04-07	1344	457	8827091	3300656	77068	13733
NL	Netherlands	w013	Week 13	2019-03-25	2019-03-31	1032	368	6466571	2370931	69785	13402
NL	Netherlands	w012	Week 12	2019-03-18	2019-03-24	1024	354	7059981	2511258	73294	12730
NL	Netherlands	w011	Week 11	2019-03-11	2019-03-17	766	284	6908812	2642872	58567	10271
NL	Netherlands	w010	Week 10	2019-03-04	2019-03-10	816	228	7413370	2924332	50258	8338
NL	Netherlands	w009	Week 9	2019-02-25	2019-03-03	330	125	3074205	1138598	30271	5486
NL	Netherlands	w008	Week 8	2019-02-18	2019-02-24	226	84	1537604	648837	10012	1827
NL	Netherlands	w007	Week 7	2019-02-11	2019-02-17	158	68	714683	257222	5311	825
NL	Netherlands	w006	Week 6	2019-02-04	2019-02-10	150	62	1561627	591530	11057	2463
NL	Netherlands	w005	Week 5	2019-01-28	2019-02-03	154	46	2705641	1072845	18255	4848
NL	Netherlands	w004	Week 4	2019-01-21	2019-01-27	111	36	475211	171068	3799	493
NL	Netherlands	w003	Week 3	2019-01-14	2019-01-20	114	38	196756	62917	1803	251
NL	Netherlands	w002	Week 2	2019-01-07	2019-01-13	88	35	372374	98353	3895	369
NL	Netherlands	w001	Week 1	2019-01-01	2019-01-06	78	29	750739	295425	3943	485
