advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
People's Vote UK	People's Vote	748608695327755	Facebook	f	Facebook	UK	United Kingdom	3562	1	96047424	33169899	1260797	225632
Britain's Future	Britain's Future	1625300137516491	Facebook	f	Facebook	UK	United Kingdom	4488	1	83731422	25931127	1003490	136986
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	UK	United Kingdom	4082	1	55541127	18719622	790495	98935
Conservatives	The Conservative Party	8807334278	Facebook	f	Facebook	UK	United Kingdom	2486	1	45906305	17587916	558359	71976
Best For Britain	Best for Britain	1863944713844924	Facebook	f	Facebook	UK	United Kingdom	874	1	40588297	17211671	502936	118494
The Labour Party	The Labour Party	25749647410	Facebook	f	Facebook	UK	United Kingdom	697	1	40032932	16154490	331297	71396
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	Facebook	UK	United Kingdom	2415	1	37056001	12763663	429868	44898
38 Degrees	38 Degrees	200006375787	Facebook	f	Facebook	UK	United Kingdom	661	1	25569190	9293960	175241	25805
We are the 52%	We are the 52%	466744973727718	Facebook	f	Facebook	UK	United Kingdom	278	1	23669724	8727001	66679	9026
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	f	Facebook	UK	United Kingdom	785	1	16589209	6444997	229488	43394
The Brexit Party	The Brexit Party	230416667843105	Facebook	f	Facebook	UK	United Kingdom	118	1	15075084	6967177	236126	68149
Kialo		729627343834501	Facebook	f	Facebook	UK	United Kingdom	339	1	13384031	5414351	130529	34367
UK government	UK government	408582579294175	Facebook	f	Facebook	UK	United Kingdom	21	1	10032273	4423575	117457	37648
Right To Vote	Right to Vote	408236463256774	Facebook	f	Facebook	UK	United Kingdom	358	1	9471483	2390442	80531	12145
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	f	Facebook	UK	United Kingdom	154	1	9076819	3237285	64228	13414
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	f	Facebook	UK	United Kingdom	43	1	7399956	3171999	56421	11687
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	f	Facebook	UK	United Kingdom	143	1	7299845	2742995	53990	11109
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	f	Facebook	UK	United Kingdom	37	1	5810962	2351999	12339	2661
London Labour Party	The London Labour Party 	474613052643462	Facebook	f	Facebook	UK	United Kingdom	90	1	5612864	2124980	50811	10993
TheArticle	TheArticle	607840469632004	Facebook	f	Facebook	UK	United Kingdom	28	1	5275961	2310995	51693	11571
Scientists for EU	Scientists for EU	642444842524195	Facebook	f	Facebook	UK	United Kingdom	62	1	5260864	1774985	37651	6595
Amnesty International UK		7624294394	Facebook	f	Facebook	UK	United Kingdom	98	1	4963810	2134957	45710	14464
School Cuts	National Education Union	871798409656672	Facebook	f	Facebook	UK	United Kingdom	176	1	4876824	1202000	48398	7058
The Week UK	The Week	177855115588808	Facebook	f	Facebook	UK	United Kingdom	141	1	4635791	1684998	43802	7984
Instant PPI UK		616112792139038	Facebook	f	Facebook	UK	United Kingdom	73	1	4554926	1695999	44530	10236
