audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	SK	Slovakia	5818	825	21770157	7654584	126514	15087
m18_24	male (18-24)	SK	Slovakia	5063	760	15348625	5503453	84161	9975
f25_34	female (25-34)	SK	Slovakia	6452	834	14359720	5205909	82000	10103
m35_44	male (35-44)	SK	Slovakia	5882	809	14185826	4841296	94461	9945
f18_24	female (18-24)	SK	Slovakia	5182	765	13147950	4874626	65378	8345
f35_44	female (35-44)	SK	Slovakia	6315	817	11114954	3888837	71016	7933
f45_54	female (45-54)	SK	Slovakia	6009	772	8063027	2661665	59409	5387
f55_64	female (55-64)	SK	Slovakia	4988	721	7406139	2254090	63488	4180
m45_54	male (45-54)	SK	Slovakia	5542	758	7200856	2373633	54716	5021
m55_64	male (55-64)	SK	Slovakia	4594	714	4091769	1268189	35267	2377
f65_	female (65+)	SK	Slovakia	4234	638	3994337	1188206	35801	2165
m65_	male (65+)	SK	Slovakia	3870	634	2493164	764513	20840	1388
f13_17	female (13-17)	SK	Slovakia	482	157	453388	175543	1816	97
m13_17	male (13-17)	SK	Slovakia	460	154	326821	122575	1486	101
u35_44	unknown (35-44)	SK	Slovakia	4505	721	183200	61813	1149	140
u25_34	unknown (25-34)	SK	Slovakia	4393	717	150910	51989	940	111
u45_54	unknown (45-54)	SK	Slovakia	3641	641	43145	14308	298	35
u18_24	unknown (18-24)	SK	Slovakia	3203	603	33229	11487	207	21
u65_	unknown (65+)	SK	Slovakia	2393	540	24216	7672	169	15
u55_64	unknown (55-64)	SK	Slovakia	2454	573	16554	5211	111	11
u13_17	unknown (13-17)	SK	Slovakia	295	120	1300	472	7	0
