country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ES	Spain	w020	Week 20	2019-05-13	2019-05-15	4623	268	20667556	6713858	263215	7718
ES	Spain	w019	Week 19	2019-05-06	2019-05-12	4108	320	34976791	13224152	303585	21976
ES	Spain	w018	Week 18	2019-04-29	2019-05-05	2923	298	18572889	6705394	146439	10943
ES	Spain	w017	Week 17	2019-04-22	2019-04-28	9053	423	247788243	98230674	1878915	302369
ES	Spain	w016	Week 16	2019-04-15	2019-04-21	6515	456	137006058	47460794	895046	97391
ES	Spain	w015	Week 15	2019-04-08	2019-04-14	2104	601	41119586	17205199	212854	39777
ES	Spain	w014	Week 14	2019-04-01	2019-04-07	1272	538	11230350	4491249	54001	6721
ES	Spain	w013	Week 13	2019-03-25	2019-03-31	1102	450	13823257	5796287	65971	9739
ES	Spain	w012	Week 12	2019-03-18	2019-03-24	1266	423	8006011	2931381	69744	3720
ES	Spain	w011	Week 11	2019-03-11	2019-03-17	776	308	10702127	3994806	62308	7786
ES	Spain	w010	Week 10	2019-03-04	2019-03-10	767	280	6877538	2660267	43605	1779
ES	Spain	w009	Week 9	2019-02-25	2019-03-03	289	118	2451214	977620	9765	657
ES	Spain	w008	Week 8	2019-02-18	2019-02-24	214	91	2655051	1165633	6349	770
ES	Spain	w007	Week 7	2019-02-11	2019-02-17	193	78	3761049	1598280	22534	7492
ES	Spain	w006	Week 6	2019-02-04	2019-02-10	173	64	1826658	666858	10176	1404
ES	Spain	w005	Week 5	2019-01-28	2019-02-03	193	62	2211547	911582	6733	642
ES	Spain	w004	Week 4	2019-01-21	2019-01-27	274	52	1735859	553359	17516	474
ES	Spain	w003	Week 3	2019-01-14	2019-01-20	145	52	926605	350906	3933	570
ES	Spain	w002	Week 2	2019-01-07	2019-01-13	117	45	516260	142294	4069	489
ES	Spain	w001	Week 1	2019-01-01	2019-01-06	105	41	607344	193175	4210	571
