day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d127	2019-05-07	IE	Ireland	382	94	904231	287346	6806	771
d126	2019-05-06	IE	Ireland	413	104	1085857	345832	7824	928
d125	2019-05-05	IE	Ireland	423	111	1069382	353329	7552	954
d124	2019-05-04	IE	Ireland	446	115	1484444	525732	10955	1667
d123	2019-05-03	IE	Ireland	467	121	1164897	401916	8221	1080
d122	2019-05-02	IE	Ireland	477	122	1104592	385485	7598	1014
d121	2019-05-01	IE	Ireland	475	121	1107748	370175	7306	963
d120	2019-04-30	IE	Ireland	530	139	1113294	370639	8234	1013
d119	2019-04-29	IE	Ireland	512	134	2305809	996050	12126	2042
d118	2019-04-28	IE	Ireland	492	136	1930974	845708	9063	1441
d117	2019-04-27	IE	Ireland	487	136	678106	233380	3703	380
d116	2019-04-26	IE	Ireland	520	140	728559	251977	3967	443
d115	2019-04-25	IE	Ireland	498	141	707027	232188	3612	370
d114	2019-04-24	IE	Ireland	469	137	688118	230552	3930	396
d113	2019-04-23	IE	Ireland	475	137	553988	193758	3097	372
d112	2019-04-22	IE	Ireland	389	131	903393	396267	4794	739
d111	2019-04-21	IE	Ireland	393	126	917245	403399	4651	732
d110	2019-04-20	IE	Ireland	397	138	893837	396140	4596	702
d109	2019-04-19	IE	Ireland	427	150	603437	243491	3045	376
d108	2019-04-18	IE	Ireland	434	148	712636	285540	3650	552
d107	2019-04-17	IE	Ireland	339	142	313038	107271	1874	298
d106	2019-04-16	IE	Ireland	370	145	395410	143294	2340	389
d105	2019-04-15	IE	Ireland	428	160	490798	178160	3093	468
d104	2019-04-14	IE	Ireland	432	167	514094	192169	3050	416
d103	2019-04-13	IE	Ireland	421	171	437398	176756	2759	365
d102	2019-04-12	IE	Ireland	477	184	447071	179211	2808	399
d101	2019-04-11	IE	Ireland	465	194	349979	135937	2574	364
d100	2019-04-10	IE	Ireland	408	188	346515	125519	2140	309
d099	2019-04-09	IE	Ireland	425	190	211988	71090	1603	166
d098	2019-04-08	IE	Ireland	431	189	276263	106401	2184	384
