day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d128	2019-05-08	FI	Finland	Sosialidemokraatit SDP		108945982480217	Facebook	66	1	277954	64045	3016	466
d128	2019-05-08	FI	Finland	Kokoomus	Kokoomus	201285237101	Facebook	18	1	93001	21275	825	139
d128	2019-05-08	FI	Finland	Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	100	1	40435	6970	1516	0
d128	2019-05-08	FI	Finland	Svenska folkpartiet i Finland - RKP	Svenska folkpartiet i Finland - RKP	191883307265	Facebook	35	1	36095	13525	429	10
d128	2019-05-08	FI	Finland	Miapetra Kumpula-Natri		922311201130062	Facebook	11	1	32029	11644	362	85
d128	2019-05-08	FI	Finland	Mirja Vehkaperä	Vehkaperä Mirja Tellervo	237130593122439	Facebook	5	1	25832	6666	332	56
d128	2019-05-08	FI	Finland	Jaana Ylitalo - Neuvottelijasi Euroopassa	Jaana Ylitalon eurovaalitukiryhmä	1201709293325428	Facebook	8	1	24748	5642	279	39
d128	2019-05-08	FI	Finland	Piia Kurki	Piia Kurki	270567833058986	Facebook	4	1	23294	4659	232	46
d128	2019-05-08	FI	Finland	Paula Aikio-Tallgren EU-vaaliehdokas	Pohjoisen asian osaajat ry	510346432432044	Facebook	9	1	23260	5402	193	13
d128	2019-05-08	FI	Finland	Tuomas Tikkanen	Tikkanen Juho Tuomas	2139907472900957	Facebook	8	1	22332	10677	235	26
d128	2019-05-08	FI	Finland	Stina Wahlsten		247410845719596	Facebook	4	1	20399	3999	79	0
d128	2019-05-08	FI	Finland	Antton Rönnholm	Rekilä Piia Annikki	575908612596562	Facebook	6	1	19540	4595	136	10
d128	2019-05-08	FI	Finland	Euroopan komissio Suomessa - Europeiska kommissionen i Finland	Euroopan komissio Suomessa - Europeiska kommissionen i Finland	139489762782508	Facebook	2	1	19166	4583	57	0
d128	2019-05-08	FI	Finland	Mikkel Näkkäläjärvi		617733068345315	Facebook	2	1	19165	3833	215	33
d128	2019-05-08	FI	Finland	Janne Parkkila - Vasemmistoliitto	Janne Parkkilan tukiyhdistys ry	354424931606915	Facebook	4	1	18830	3766	194	36
d128	2019-05-08	FI	Finland	Camilla Gunell till EU 2019		360575481205047	Facebook	5	1	18797	3759	135	17
d128	2019-05-08	FI	Finland	Aura Salla		357502994332188	Facebook	3	1	18749	3749	120	20
d128	2019-05-08	FI	Finland	Christoffer Hällfors	Christoffer Hällfors	166764656737212	Facebook	10	1	18548	5190	154	0
d128	2019-05-08	FI	Finland	Miikkael Azaize	Kaarelan Keskustaseura ry	2261117880772740	Facebook	5	1	17998	3333	165	0
d128	2019-05-08	FI	Finland	Petri Sarvamaa	Petri Sarvamaa	164624737027350	Facebook	5	1	16864	4248	290	55
d128	2019-05-08	FI	Finland	Teuvo Hakkarainen		198979100169761	Facebook	1	1	16666	3333	32	0
d128	2019-05-08	FI	Finland	Mia Haglund	Mia Haglund MEPiksi -kampanja	252498358197157	Facebook	5	1	16618	3648	81	0
d128	2019-05-08	FI	Finland	Pekka Shemeikka	Nokela Matti Juhani Philip	591986911282315	Facebook	4	1	14142	3857	147	20
d128	2019-05-08	FI	Finland	Filip Björklöf	Filip Björklöfs understödsförening	432450826819256	Facebook	13	1	13662	3400	442	0
d128	2019-05-08	FI	Finland	Simo Grönroos	Gronroos Simo Juhani	445988248775782	Facebook	5	1	13331	5666	165	0
