recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	AT	Austria	2970	145	3128652	986368	43778	2711
rd2	Last 2 days	2019-05-06	2019-05-07	AT	Austria	3087	157	7082513	2252971	93931	6398
rd3	Last 3 days	2019-05-05	2019-05-07	AT	Austria	3167	175	11418592	3742013	138309	10880
rd4	Last 4 days	2019-05-04	2019-05-07	AT	Austria	3310	184	16239097	5375990	188796	17535
rd5	Last 5 days	2019-05-03	2019-05-07	AT	Austria	3430	199	20468003	6792624	235086	23830
rd6	Last 6 days	2019-05-02	2019-05-07	AT	Austria	3556	213	25101179	8357426	281786	29885
rw1	Last week	2019-05-01	2019-05-07	AT	Austria	3726	228	31600802	10665104	352611	41501
rw2	Last 2 weeks	2019-04-24	2019-05-07	AT	Austria	4951	326	60598805	20848943	632747	82217
rw3	Last 3 weeks	2019-04-17	2019-05-07	AT	Austria	5358	426	73332893	25177134	740179	97853
rw4	Last 4 weeks	2019-04-10	2019-05-07	AT	Austria	5979	606	82620432	28379838	812119	108094
rm1	Last month	2019-04-08	2019-05-07	AT	Austria	6149	668	84398832	28929391	827913	110088
rm2	Last 2 months	2019-03-09	2019-05-07	AT	Austria	7885	1081	105075059	36128962	1009712	133883
rm3	Last 3 months	2019-02-07	2019-05-07	AT	Austria	8298	1137	109801150	37856661	1049380	139132
rm6	Last 6 months	2019-01-01	2019-05-07	AT	Austria	8521	1172	111835137	38484354	1069317	141618
