advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	BG	Bulgaria	53	1	4802366	2204033	9514	2278
Демократична България	Демократична България	995342840629890	Facebook	BG	Bulgaria	35	1	2581101	959146	5830	744
Kialo		729627343834501	Facebook	BG	Bulgaria	256	1	2419785	938121	13701	3267
Приоритети	БЗНС	1163987410423594	Facebook	BG	Bulgaria	56	1	1410413	502773	5022	150
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	BG	Bulgaria	51	1	1056015	488509	2189	610
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	BG	Bulgaria	54	1	1017359	414754	3837	838
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	BG	Bulgaria	25	1	883610	334151	2378	315
Бареков и Байрактаров без цензура - ТВ предаване		405986069871245	Facebook	BG	Bulgaria	10	1	750326	265858	1463	392
Стефан Тафров	Стефан Тафров	233810563693016	Facebook	BG	Bulgaria	39	1	719560	174198	3528	0
Лиляна Павлова	Лиляна Павлова	119576588238010	Facebook	BG	Bulgaria	24	1	700502	138905	2325	0
Път на младите	Път на младите	2051476654950711	Facebook	BG	Bulgaria	16	1	681026	233474	2448	261
Крум Дончев/Krum Donchev		155516354469476	Facebook	BG	Bulgaria	8	1	679340	324705	556	0
Valeri Simeonov		1967166133516609	Facebook	BG	Bulgaria	22	1	611124	142367	2124	0
Volen Siderov		48268614826	Facebook	BG	Bulgaria	22	1	548609	119952	1714	0
European Greens	European Greens	141366725876424	Facebook	BG	Bulgaria	9	1	520153	234159	1860	451
informo.bg	informo.bg	262524054082832	Facebook	BG	Bulgaria	6	1	514774	231379	1073	154
ПП ГЕРБ - София		336639303182606	Facebook	BG	Bulgaria	1	1	499999	200000	444	89
Европейски парламент в България		163350039852	Facebook	BG	Bulgaria	1	1	499999	200000	4999	1000
България на Труда и Разума - БТР		709384432421964	Facebook	BG	Bulgaria	9	1	494598	154547	1015	78
Партия на ЗЕЛЕНИТЕ	Mitrakiev Boyan	1438204226503681	Facebook	BG	Bulgaria	13	1	375188	78040	1210	0
Кристиян Шкварек	Oblakov Nikolay	651747871952382	Facebook	BG	Bulgaria	17	1	353227	85321	1476	0
European Commission		107898832590939	Facebook	BG	Bulgaria	3	1	331399	165700	980	240
За Петър Чобанов	Chobanov Petar	762986410409232	Facebook	BG	Bulgaria	24	1	291069	65701	2092	0
Ангел Джамбазки	Войчин Мирчо	139581756144530	Facebook	BG	Bulgaria	9	1	237099	73613	699	0
Greens/EFA in the European Parliament		150527751674751	Facebook	BG	Bulgaria	13	1	198699	79642	309	49
EU Environment		305608429284	Facebook	BG	Bulgaria	2	1	178506	85511	854	166
Радан Кънев	Радан Кънев	1461853244069926	Facebook	BG	Bulgaria	8	1	174831	43236	707	0
Евро Ферт АД		271746059949890	Facebook	BG	Bulgaria	1	1	170940	85470	379	76
BRITA Bulgaria		1471240093191880	Facebook	BG	Bulgaria	1	1	166405	83203	82	0
Arte		656089814494677	Facebook	BG	Bulgaria	6	1	159645	68538	387	60
Ваня Григорова - независим кандидат за евродепутат	Vanya Grigorova 	344617396401957	Facebook	BG	Bulgaria	4	1	147342	32134	362	0
Ilhan Kyuchyuk	Ilhan Kyuchyuk	1637403469881344	Facebook	BG	Bulgaria	5	1	139028	27806	317	0
European Youth Event		919232861444360	Facebook	BG	Bulgaria	6	1	138638	60172	340	91
DESIGNitsa - Дизайница		676082905766490	Facebook	BG	Bulgaria	10	1	134789	29480	867	0
Фондация Българска Памет		540948509258655	Facebook	BG	Bulgaria	2	1	134105	53827	176	0
сТУденти		710941585944818	Facebook	BG	Bulgaria	25	1	112869	32505	2327	0
Росен Богомилов	Ivanov Hristo	1183492355137046	Facebook	BG	Bulgaria	2	1	109997	54999	597	99
Консерваторъ	Oblakov Nikolay	1840027882991452	Facebook	BG	Bulgaria	4	1	100360	20072	341	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	BG	Bulgaria	7	1	95080	35119	145	24
Карлос Контрера	Войчин Мирчо	734105799990582	Facebook	BG	Bulgaria	12	1	93988	21000	1057	0
ВОЛЯ - Българските Родолюбци		317433685633688	Facebook	BG	Bulgaria	2	1	91600	45801	146	0
Кеворк Кеворкян		490656127781163	Facebook	BG	Bulgaria	1	1	88849	44425	78	0
Болници Medical Park		648144405325576	Facebook	BG	Bulgaria	2	1	87550	43776	138	0
Give A Vote		2186129244970085	Facebook	BG	Bulgaria	1	1	86878	34751	86	17
Center for European Integration Studies (ZEI)		144159745724379	Facebook	BG	Bulgaria	1	1	76066	38033	75	38
Guardian Weekly		64525551258	Facebook	BG	Bulgaria	8	1	64608	24382	106	23
Stankov • Todorov • Hinkov & Spasov Attorneys-at-Law		1717626955134976	Facebook	BG	Bulgaria	2	1	59998	15000	176	0
Иво Пазарджиев		128221490865195	Facebook	BG	Bulgaria	12	1	54776	13413	952	0
Game of Sultans		185311195624361	Facebook	BG	Bulgaria	6	1	54643	23352	927	185
ALDE Group – Liberals and Democrats in the European Parliament		123910440019	Facebook	BG	Bulgaria	3	1	53786	22816	73	13
Петър Клисаров		2041389956077700	Facebook	BG	Bulgaria	2	1	52442	13020	151	0
Create.Refresh	Create.Refresh	1736881926615141	Facebook	BG	Bulgaria	4	1	51994	21816	141	22
TaxiMe		130743243729492	Facebook	BG	Bulgaria	1	1	49999	10000	88	0
GEYA   /  ГЕЯ  /		125015671491693	Facebook	BG	Bulgaria	1	1	49999	10000	88	0
Венета Маджистрели - раз/ЛИЧНИЯТ избор за Европейски парламент 2019		436121407128896	Facebook	BG	Bulgaria	1	1	49999	10000	99	0
JobRadar.BG		1753665731363354	Facebook	BG	Bulgaria	1	1	49999	9999	99	0
Медея		1526396310816752	Facebook	BG	Bulgaria	1	1	49999	10000	88	0
National Geographic		257826487601111	Facebook	BG	Bulgaria	1	1	46801	9360	92	0
Viasat Explore		552952714727440	Facebook	BG	Bulgaria	2	1	46627	9325	39	0
