country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
NL	Netherlands	f	female	7064	1592	68248048	26950039	565946	111184
NL	Netherlands	m	male	6621	1528	56064365	22131758	444787	81770
NL	Netherlands	u	unknown	5856	1407	472391	176731	4228	710
