week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	LV	Latvia	164	51	508244	162947	2372	103
w019	Week 19	2019-05-06	2019-05-12	LV	Latvia	281	72	4399436	1625457	19359	1824
w018	Week 18	2019-04-29	2019-05-05	LV	Latvia	322	100	4805561	1753720	24740	3889
w017	Week 17	2019-04-22	2019-04-28	LV	Latvia	330	95	1873220	587091	8598	1184
w016	Week 16	2019-04-15	2019-04-21	LV	Latvia	351	116	815987	233289	5216	358
w015	Week 15	2019-04-08	2019-04-14	LV	Latvia	455	170	1503744	578552	5284	538
w014	Week 14	2019-04-01	2019-04-07	LV	Latvia	371	165	596439	188341	3044	319
w013	Week 13	2019-03-25	2019-03-31	LV	Latvia	339	143	455261	150421	4413	219
w012	Week 12	2019-03-18	2019-03-24	LV	Latvia	283	129	784446	182265	2463	41
w011	Week 11	2019-03-11	2019-03-17	LV	Latvia	178	82	393070	112497	1877	108
w010	Week 10	2019-03-04	2019-03-10	LV	Latvia	192	72	879376	334045	2774	273
w009	Week 9	2019-02-25	2019-03-03	LV	Latvia	94	47	389720	162217	930	71
w008	Week 8	2019-02-18	2019-02-24	LV	Latvia	82	43	282163	86710	863	67
w007	Week 7	2019-02-11	2019-02-17	LV	Latvia	52	33	29524	7478	157	7
w006	Week 6	2019-02-04	2019-02-10	LV	Latvia	43	22	15524	6845	110	16
w005	Week 5	2019-01-28	2019-02-03	LV	Latvia	56	23	10823	4233	71	4
w004	Week 4	2019-01-21	2019-01-27	LV	Latvia	44	19	10287	3884	24	1
w003	Week 3	2019-01-14	2019-01-20	LV	Latvia	58	24	27038	10678	151	19
w002	Week 2	2019-01-07	2019-01-13	LV	Latvia	39	20	4894	1496	57	0
w001	Week 1	2019-01-01	2019-01-06	LV	Latvia	32	16	2519	1144	17	1
