advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Klang der Solidarität		385076005313967	Facebook	50_100	50 - 100	DE	Germany	75	1	899841	412426	1978	373
Kialo		729627343834501	Facebook	50_100	50 - 100	DE	Germany	327	1	448242	130916	3611	714
Dungeon Defenders		107960282569653	Facebook	50_100	50 - 100	DE	Germany	297	1	303565	123645	1090	192
M1		1220658008054651	Facebook	50_100	50 - 100	DE	Germany	3	1	99996	34999	232	46
Genialbau Klub		1852419151474650	Facebook	50_100	50 - 100	DE	Germany	9	1	99117	19937	870	171
CDU	CDU	78502295414	Facebook	50_100	50 - 100	DE	Germany	3170	1	94320	23440	976	0
ExxonMobil		925007000949719	Facebook	50_100	50 - 100	DE	Germany	7	1	83799	16987	744	147
The Palestine Institute for Public Diplomacy		158233651450504	Facebook	50_100	50 - 100	DE	Germany	4	1	83091	41545	369	73
aboalarm		148847421861	Facebook	50_100	50 - 100	DE	Germany	2	1	82963	41482	368	73
Kapaw		111538706006545	Facebook	50_100	50 - 100	DE	Germany	6	1	57051	11597	502	99
Verv		560545637307176	Facebook	50_100	50 - 100	DE	Germany	5	1	55622	25416	274	54
SPD	SPD	47930567748	Facebook	50_100	50 - 100	DE	Germany	5994	1	48813	8714	1846	0
medisim - Institut für medizinische Fortbildung		264857807671	Facebook	50_100	50 - 100	DE	Germany	7	1	42374	8573	385	73
Goldman Sachs		121388362246	Facebook	50_100	50 - 100	DE	Germany	1	1	41494	20747	184	36
Wholesome Culture		1664959567149320	Facebook	50_100	50 - 100	DE	Germany	6	1	38357	15545	40	7
Drimee Germany		678265145905178	Facebook	50_100	50 - 100	DE	Germany	1	1	36537	18269	162	32
Satronik - Pompy Ciepła		276627982527247	Facebook	50_100	50 - 100	DE	Germany	1	1	36438	14575	8	1
FDP	FDP	21289227249	Facebook	50_100	50 - 100	DE	Germany	833	1	31803	7302	256	0
Aktuelle Kredite		178162596085181	Facebook	50_100	50 - 100	DE	Germany	2	1	30491	6652	98	45
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	50_100	50 - 100	DE	Germany	2	1	25002	4999	77	15
مفوضية اللاجئين		188842724507690	Facebook	50_100	50 - 100	DE	Germany	60	1	24105	9629	104	16
Hallohaus		204344733663623	Facebook	50_100	50 - 100	DE	Germany	7	1	23756	6376	409	80
Kiddies Family Karriere		486392568425609	Facebook	50_100	50 - 100	DE	Germany	2	1	22990	9213	95	19
PARTEI MENSCH UMWELT TIERSCHUTZ		108568039165729	Facebook	50_100	50 - 100	DE	Germany	13	1	22341	4590	206	36
Ring		113198175992110	Facebook	50_100	50 - 100	DE	Germany	1	1	20771	4154	184	36
