platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	HR	Croatia	European Parliament		178362315106	Facebook	38	1	7270846	3356568	23512	5236
f	Facebook	HR	Croatia	SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	61	1	3508933	1409998	6996	378
f	Facebook	HR	Croatia	Valter Flego	Valter Flego	441675022557503	Facebook	52	1	2050691	552891	6805	800
f	Facebook	HR	Croatia	Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	26	1	1929973	668999	4427	534
f	Facebook	HR	Croatia	MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	42	1	1628958	559000	5481	445
f	Facebook	HR	Croatia	Kialo		729627343834501	Facebook	319	1	1619207	680017	7630	1932
f	Facebook	HR	Croatia	Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	22	1	1446514	517801	2780	177
f	Facebook	HR	Croatia	Ruža Tomašić		1434305366791182	Facebook	38	1	1408487	365704	3615	0
f	Facebook	HR	Croatia	pametno.org	pametno.org	144815235686385	Facebook	27	1	1319503	426867	2778	88
f	Facebook	HR	Croatia	Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	74	1	1256926	324000	7203	89
f	Facebook	HR	Croatia	Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	17	1	1069051	339622	2262	177
f	Facebook	HR	Croatia	Eclectica		1379977375431894	Facebook	1	1	999999	500000	4449	890
f	Facebook	HR	Croatia	European Greens	European Greens	141366725876424	Facebook	13	1	976203	429126	3288	971
f	Facebook	HR	Croatia	Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	19	1	876981	241000	2742	267
f	Facebook	HR	Croatia	GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	11	1	865988	275999	1325	89
f	Facebook	HR	Croatia	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	47	1	616785	288529	1492	407
f	Facebook	HR	Croatia	Zoran Bahtijarević		2195720960680577	Facebook	4	1	549841	259922	1595	299
f	Facebook	HR	Croatia	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	26	1	516342	166954	1431	121
f	Facebook	HR	Croatia	Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	14	1	465009	194511	1976	177
f	Facebook	HR	Croatia	Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	7	1	454993	151000	1016	89
f	Facebook	HR	Croatia	Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	16	1	414984	95000	1431	0
f	Facebook	HR	Croatia	Electrolux Hrvatska		1229501663771543	Facebook	3	1	399997	200000	297	0
f	Facebook	HR	Croatia	Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	10	1	377990	140999	1237	89
f	Facebook	HR	Croatia	Jozo Radoš	Jozo Radoš	446717938731095	Facebook	15	1	361980	86999	2597	299
f	Facebook	HR	Croatia	Nova ljevica	Markovina Dragan	706769699498076	Facebook	16	1	284983	71999	1409	0
