country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
UK	United Kingdom	54883	5242	897565940	306159445	11126802	1509669
ES	Spain	24886	2109	564352568	215766119	4051085	528635
IT	Italy	17742	4919	437695063	159122767	2268700	242660
DE	Germany	36062	4257	399317904	125557533	4482257	397978
BE	Belgium	12009	2188	329459788	125321550	2272702	395212
RO	Romania	5891	1285	299547817	124926494	631826	138279
__	(Non-EU data in the Facebook Ad Library)	21884	5824	248404225	99724915	878875	140352
FR	France	12389	3187	237180491	91993698	1936633	333120
EL	Greece	7861	1415	215704258	79272335	827725	79156
HU	Hungary	5551	1586	177497987	73149544	418195	139387
