advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	18_24	18-24	LT	Lithuania	30	1	3146329	1309484	12215	3153
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	18_24	18-24	LT	Lithuania	30	1	2092476	935775	3968	485
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	18_24	18-24	LT	Lithuania	40	1	516331	135351	1719	121
Kialo		729627343834501	Facebook	18_24	18-24	LT	Lithuania	304	1	471643	185045	2974	681
Už Ingridą	Ingrida Šimonytė	2214495192154107	Facebook	18_24	18-24	LT	Lithuania	28	1	455628	130671	1269	86
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	18_24	18-24	LT	Lithuania	76	1	384101	96996	1648	41
European Commission		107898832590939	Facebook	18_24	18-24	LT	Lithuania	12	1	322241	144575	1043	135
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	18_24	18-24	LT	Lithuania	10	1	272251	100547	892	125
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	18_24	18-24	LT	Lithuania	23	1	212589	47932	1038	60
Liberalai	Liberalai	81004804444	Facebook	18_24	18-24	LT	Lithuania	78	1	183668	34513	3651	0
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	18_24	18-24	LT	Lithuania	16	1	175007	70661	465	52
Prof. Dr. Stanislovas Tomas, Advokatas		1049345465226776	Facebook	18_24	18-24	LT	Lithuania	4	1	173498	67770	326	144
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	18_24	18-24	LT	Lithuania	48	1	87656	41151	180	50
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	18_24	18-24	LT	Lithuania	24	1	85753	24928	390	15
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	18_24	18-24	LT	Lithuania	9	1	74995	16032	320	0
Arvydas Juozaitis	Arvydas Juozaitis	458551247900215	Facebook	18_24	18-24	LT	Lithuania	11	1	74489	19175	285	30
Bronis Ropė		216419471860983	Facebook	18_24	18-24	LT	Lithuania	7	1	63026	12447	201	0
European Youth Event		919232861444360	Facebook	18_24	18-24	LT	Lithuania	6	1	60952	28708	217	51
Europos Parlamento biuras Lietuvoje		188014250186	Facebook	18_24	18-24	LT	Lithuania	2	1	58182	28419	323	55
European Greens	European Greens	141366725876424	Facebook	18_24	18-24	LT	Lithuania	7	1	57996	22412	216	62
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	18_24	18-24	LT	Lithuania	53	1	52592	22823	213	44
Greens/EFA in the European Parliament		150527751674751	Facebook	18_24	18-24	LT	Lithuania	23	1	49616	21727	51	11
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)		198988713464683	Facebook	18_24	18-24	LT	Lithuania	8	1	44671	13628	198	14
Lietuvos Centro Partija (LCP)		102161476501915	Facebook	18_24	18-24	LT	Lithuania	3	1	42901	21286	222	42
Europos Komisijos atstovybė Lietuvoje		76783564232	Facebook	18_24	18-24	LT	Lithuania	1	1	38295	19147	95	19
