gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	SK	Slovakia	6796	854	58539519	20248879	378911	38213
m	male	SK	Slovakia	6319	842	65417221	22528247	417447	43897
u	unknown	SK	Slovakia	5271	796	452556	152953	2885	335
