gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m	male	FR	France	Greenpeace France		39435457457	Facebook	130	1	10480604	4701842	48347	11354
m	male	FR	France	European Parliament		178362315106	Facebook	87	1	10334075	4819549	57835	12743
m	male	FR	France	Parlement européen en France	Parlement européen en France	279757933824	Facebook	36	1	3629712	1414906	13963	3699
m	male	FR	France	Kialo		729627343834501	Facebook	367	1	2508984	1019707	16441	3876
m	male	FR	France	Primes écologique		152399322377561	Facebook	19	1	2473921	1022173	29116	6220
m	male	FR	France	La Prime Énergie		336155273400553	Facebook	27	1	2102116	836012	18833	4199
m	male	FR	France	Agence Isolation Pour Tous		568528630290119	Facebook	25	1	2055826	854479	25400	5884
m	male	FR	France	Médecins du Monde France		265420476920	Facebook	889	1	1995069	661440	30585	2026
m	male	FR	France	Les Energies du Soleil		1684031805239401	Facebook	14	1	1876477	835316	22917	6775
m	male	FR	France	Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	61	1	1774281	734429	7502	1608
m	male	FR	France	Route Auto		252868201731333	Facebook	9	1	1754989	830999	8190	1599
m	male	FR	France	Ministère de l'Intérieur		103146727990	Facebook	32	1	1553937	656411	8008	1876
m	male	FR	France	Aides énergétiques pour tous		789578834730248	Facebook	16	1	1490679	608816	17291	3869
m	male	FR	France	Unis pour les Droits Humains		1642871805813802	Facebook	20	1	1197050	490369	901	19
m	male	FR	France	Dungeon Defenders		107960282569653	Facebook	162	1	1182744	494152	3747	463
m	male	FR	France	Make.org	Make.org	122037308191612	Facebook	60	1	1084268	430333	9817	2086
m	male	FR	France	France Soleil		1928798227141536	Facebook	12	1	1073577	517347	14883	4995
m	male	FR	France	2 Min Ecologie		433170297221149	Facebook	68	1	1012283	344473	11410	2071
m	male	FR	France	Le Monde		14892757589	Facebook	34	1	985773	358737	2187	265
m	male	FR	France	Paris Première		140770432659757	Facebook	3	1	948443	474223	3985	780
m	male	FR	France	Mon Energie Verte		252140872017180	Facebook	65	1	889235	313368	11370	2283
m	male	FR	France	Economiser Energie		286272318578056	Facebook	11	1	878222	343093	10470	2036
m	male	FR	France	Mes économies d'énergie		124948231440251	Facebook	11	1	846695	326843	9235	1839
m	male	FR	France	European Commission		107898832590939	Facebook	5	1	837906	418953	4184	837
m	male	FR	France	BonneGueule		140324089470	Facebook	4	1	792647	387705	3874	763
m	male	FR	France	Pompes à Chaleur		464568377211278	Facebook	40	1	730916	294653	8904	1829
m	male	FR	France	Céréal Bio & Céréal France		1636261843328359	Facebook	5	1	723986	289258	3857	1014
m	male	FR	France	EcoFuel Premium		520021431842443	Facebook	15	1	716797	289026	3796	629
m	male	FR	France	Le 1		850828794934579	Facebook	21	1	714313	275816	1355	62
m	male	FR	France	Simulation Energétique		562488297524492	Facebook	20	1	692694	266608	7994	2172
m	male	FR	France	Stop Impôt		1538720933075616	Facebook	11	1	673530	287324	4576	1543
m	male	FR	France	European GNSS Agency		128217567344601	Facebook	1	1	669291	334645	3345	669
m	male	FR	France	SECIB Immobilier		378027698975144	Facebook	24	1	632003	237594	8114	2284
m	male	FR	France	Ecobio OBD		250081085939529	Facebook	7	1	619451	250436	4932	894
m	male	FR	France	Santesano		316620582266150	Facebook	2	1	619160	309581	6190	3051
m	male	FR	France	Européens Sans Frontières		668031516635463	Facebook	8	1	592624	242838	1150	359
m	male	FR	France	ONU Environnement		155723201059	Facebook	1	1	589062	294531	2621	524
m	male	FR	France	Transition Energétique		753069428230726	Facebook	10	1	585442	224088	6077	1542
m	male	FR	France	FHE Group		1241383025915322	Facebook	1	1	582486	291243	2911	582
m	male	FR	France	Les Antagonistes		398415124026017	Facebook	2	1	568392	283689	5699	2833
m	male	FR	France	Klang der Solidarität		385076005313967	Facebook	46	1	542820	225145	1471	269
m	male	FR	France	Subventions énergétiques 2019	Primes Energetiques	1815507421886752	Facebook	106	1	539874	122458	6194	498
m	male	FR	France	UNICEF France		173159234432	Facebook	38	1	524541	211107	2562	712
m	male	FR	France	SOS Racisme		166294396737151	Facebook	1	1	518987	259493	5189	2594
m	male	FR	France	WWF-France	WWF-France	145392792632	Facebook	8	1	486860	196154	1368	426
m	male	FR	France	28 minutes		311595228873763	Facebook	2	1	473929	202213	662	132
m	male	FR	France	350.org		12185972707	Facebook	60	1	463767	105262	2116	226
m	male	FR	France	Campus protestant		2019076568379648	Facebook	13	1	459694	183520	2444	453
m	male	FR	France	National Geographic		106750996025532	Facebook	5	1	458774	229388	1284	257
m	male	FR	France	L'Agence pour l'Énergie		465425373946253	Facebook	7	1	449021	173310	3985	935
m	male	FR	France	foodwatch France		194934737335658	Facebook	14	1	445467	159660	5122	978
m	male	FR	France	Miséricorde pour l'Humanité France		596904657000107	Facebook	9	1	424149	159346	3228	617
m	male	FR	France	1 innovation par jour.		520430624775359	Facebook	8	1	414419	147192	608	0
m	male	FR	France	Eco-systèmes		180995598634858	Facebook	4	1	412604	206303	2060	1031
m	male	FR	France	Conseil Solaire		1329380840472696	Facebook	16	1	400831	153496	3391	1077
m	male	FR	France	Fiat Professional France		346353942508593	Facebook	4	1	397516	161929	3619	707
m	male	FR	France	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	46	1	395815	164987	1576	447
m	male	FR	France	Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	79	1	389640	110505	2138	0
m	male	FR	France	Saine Abondance		2106701562887023	Facebook	24	1	382702	156240	4335	1082
m	male	FR	France	Agence Française pour la Transition Energétique		1981871332106127	Facebook	18	1	380754	148538	1637	206
m	male	FR	France	Surfrider Foundation Europe		41452575362	Facebook	11	1	380481	172345	1317	155
m	male	FR	France	Mon Homéo Mon Choix		1643185362449069	Facebook	28	1	378387	142232	3460	709
m	male	FR	France	Campagne nationale d’économie d’énergie		293095048144707	Facebook	10	1	372308	135671	7143	1599
m	male	FR	France	France Fraternités		200607067033021	Facebook	1	1	370387	148155	369	74
m	male	FR	France	Consommez Malin		2045469565728527	Facebook	42	1	355343	71606	6188	1258
m	male	FR	France	Commission européenne en France		173257392750594	Facebook	3	1	351376	132986	752	303
m	male	FR	France	1devis.io		1632519900186330	Facebook	67	1	348932	77985	5182	155
m	male	FR	France	Ligue des droits de l'Homme		91187778160	Facebook	7	1	346215	149179	1461	284
m	male	FR	France	LIFE		167060196653670	Facebook	50	1	330456	68149	2476	97
m	male	FR	France	Lidimo		2217464665186092	Facebook	5	1	327403	126252	3305	787
m	male	FR	France	TÊTU		9217671290	Facebook	16	1	302249	67627	1667	88
m	male	FR	France	Primes environnement		295117997866642	Facebook	6	1	291574	122818	1924	573
m	male	FR	France	It's Canada Time - itscanadatime		974459525936546	Facebook	9	1	288836	108727	2882	565
m	male	FR	France	Comment placer mon argent		2070600249840562	Facebook	4	1	285937	134011	1576	628
m	male	FR	France	La vérité sur l’Arabie Saoudite		2209014842757280	Facebook	17	1	283622	105456	757	0
m	male	FR	France	Éditions Edilivre		203451893026466	Facebook	2	1	278970	106927	96	0
m	male	FR	France	Région Auvergne-Rhône-Alpes		381564575243650	Facebook	2	1	275050	114469	2527	505
m	male	FR	France	CIWF France	CIWF France	335868279790722	Facebook	5	1	272656	126849	3607	855
m	male	FR	France	Réseau des Écoles de la 2e Chance France		615421428513426	Facebook	1	1	266429	106571	265	53
m	male	FR	France	Maplanèteverte	Ma Planète Verte	340654233462962	Facebook	58	1	258245	62030	2282	354
m	male	FR	France	Alberto Alemanno		179635265973968	Facebook	5	1	247418	105953	230	0
m	male	FR	France	Shell		200969413280005	Facebook	1	1	242466	96986	2157	431
m	male	FR	France	SNE		1703448029710053	Facebook	6	1	242040	120435	6280	1390
m	male	FR	France	The Good Lobby		1420129598280317	Facebook	17	1	239450	49401	552	0
m	male	FR	France	Un citoyen 2019		415805709187581	Facebook	12	1	237992	99245	3702	631
m	male	FR	France	Ultima Petfood France		223284707822128	Facebook	7	1	237680	104758	1288	382
m	male	FR	France	Brief.eco		550490141980385	Facebook	9	1	225717	75597	1438	341
m	male	FR	France	Topito		136164895246	Facebook	1	1	224820	89928	224	44
m	male	FR	France	VMware		6975960973	Facebook	3	1	223521	111761	589	118
m	male	FR	France	Florida Invest		1757174107834441	Facebook	8	1	221603	44321	494	0
m	male	FR	France	Nekisi		2210586769194254	Facebook	14	1	215318	52440	790	0
m	male	FR	France	Plan International France		100707905881	Facebook	59	1	213500	54362	2394	215
m	male	FR	France	Socialter		121693529673	Facebook	55	1	202759	39722	3788	50
m	male	FR	France	Chroniques Du Golfe		2196850910357980	Facebook	30	1	201555	70590	1100	0
m	male	FR	France	Garçon Magazine		1064687353565185	Facebook	1	1	199991	99995	998	499
m	male	FR	France	Pataugas		118957311464638	Facebook	1	1	199970	99985	998	499
m	male	FR	France	CCFD-Terre Solidaire		112547358788607	Facebook	9	1	197322	67929	997	272
m	male	FR	France	America mag	America mag	1907091326193407	Facebook	2	1	195343	83383	404	81
m	male	FR	France	Planète OUI - Fournisseur d'électricité 100% renouvelable		108397722049	Facebook	25	1	192179	69685	1939	55
m	male	FR	France	Musée national de l'histoire de l'immigration		89756927592	Facebook	6	1	185769	85607	683	113
m	male	FR	France	Romain Cujives		188432754884377	Facebook	14	1	184313	59353	1288	127
m	male	FR	France	ExxonMobil		925007000949719	Facebook	5	1	179886	82626	3035	735
m	male	FR	France	MRAP		823565947739102	Facebook	2	1	179211	81190	657	131
m	male	FR	France	Spicee		1541412079456514	Facebook	16	1	174972	36035	666	0
m	male	FR	France	CFER		305254440031170	Facebook	7	1	172616	68146	6702	1491
m	male	FR	France	Mairie de Toulouse		118107084316	Facebook	2	1	169686	67480	374	167
m	male	FR	France	Canopée		358478628257486	Facebook	6	1	165690	63653	499	48
m	male	FR	France	Business France		132401066182	Facebook	2	1	165334	76873	767	365
m	male	FR	France	Mouvement Européen-France		335173974498	Facebook	7	1	164497	55178	1109	175
m	male	FR	France	Prime Énergie		426045577958757	Facebook	4	1	158727	72856	2894	708
m	male	FR	France	Sofka Officiel		794971730540455	Facebook	9	1	157324	38200	661	0
m	male	FR	France	Isolez vos combles pour 1€		1979732192254642	Facebook	6	1	156910	51300	1565	448
m	male	FR	France	Conseil Régional pour l'écologie		279723639568153	Facebook	10	1	153213	34865	2007	333
m	male	FR	France	En immersion		403007780216717	Facebook	8	1	152389	31876	504	0
m	male	FR	France	Goldman Sachs		121388362246	Facebook	1	1	151577	75789	336	67
m	male	FR	France	Médecins Sans Frontières		154912951193067	Facebook	27	1	149795	41416	1511	250
m	male	FR	France	Elections Présidentielles Européennes 2019	Jérémie Gonzague Jean-Baptiste Lefebvre 	1509275882541675	Facebook	6	1	140815	41565	1182	236
m	male	FR	France	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	45	1	138271	54043	729	158
m	male	FR	France	Georges.tech		297216183943797	Facebook	5	1	136732	61374	367	44
m	male	FR	France	Festival Amnesty International Au Cinéma pour les Droits Humains		1263015460431177	Facebook	29	1	131704	42068	997	54
m	male	FR	France	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	53	1	130412	61042	630	112
m	male	FR	France	Make-up Studio Martinique		1629772583807735	Facebook	12	1	129205	51217	642	114
m	male	FR	France	Aveda		1355743951182487	Facebook	7	1	128128	63809	718	116
m	male	FR	France	Ultra Premium Direct		241324402728111	Facebook	13	1	125371	39262	1265	318
m	male	FR	France	Òmnium International		2177632682563843	Facebook	38	1	124933	47985	1115	155
m	male	FR	France	Enlysée		236570007032383	Facebook	37	1	121660	34081	2160	0
m	male	FR	France	Pompe à chaleur		308018479682782	Facebook	8	1	121397	24280	1117	184
m	male	FR	France	Solutions Énergétiques de France		146021859351766	Facebook	4	1	120112	40628	693	113
m	male	FR	France	Cerveau & Psycho		212434006141	Facebook	10	1	119180	23736	659	87
m	male	FR	France	EDF		139331629464336	Facebook	10	1	117533	27062	1185	121
m	male	FR	France	Eco Environnement		189035588239320	Facebook	7	1	116531	36314	3669	1113
m	male	FR	France	Le saviez vous ?		170543420313315	Facebook	4	1	114386	56318	2988	563
m	male	FR	France	AirsPods		2199736213418447	Facebook	10	1	111687	43496	854	65
